S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2912599.0,LARSEN AND TOUBRO LIMITED,INR,"3,262,509,900",CCEABP,Internal,,Manas Ranjan Mandal,12-Feb-2026 12:16 PM,finsummary_537174.pdf (559.21 KB),Technical,SUMMARY UPLOADED,ABINASH ROUL,23-May-2025 12:00 PM,technical_537174.pdf,"CCE,Anandapur Barrage Project||CCE,Anandapur",2025_CCEAB_112676_1,CCEABP-02 OF 2025-26,Construction of Distribution system for 12155.80 Ha. of CCA including Command Area Development (CAD) of Salandi Left Main Canal from RD 45.570 km to 49.810 km through Under Ground Pipe Line Irrigation system (Gravity Flow) of Anandapur Barrage Projec,Finance,SUMMARY UPLOADED,Malaya kumar Dharua,07-Nov-2025 11:54 AM,finance_537174.pdf,BOQ Comparative Chart,Addl. Chief Secretary to Govt. DoWR Odisha,Internal,,Manas Ranjan Mandal,04-Nov-2025 04:42 PM,07-Nov-2025 11:30 AM,techsummary_537174.pdf (385.86 KB),12-Feb-2026,"INR 3,262,509,900",810.0,Manas Ranjan Mandal,12-Feb-2026 12:27 PM,AOC.pdf (912.00 KB),1,2924983,Dilip Buildcon Limited,22-May-2025 02:49 PM,Rejected-Technical,Not Qualified in Technical Evaluation,04-Nov-2025 04:42 PM,AOC,"CCE,Anandapur Barrage Project||CCE,Anandapur",CCEABP-02 OF 2025-26,2025_CCEAB_112676_1,Yes,National Competitive Bid,Turn-key,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Construction of Distribution system for 12155.80 Ha. of CCA including Command Area Development (CAD) of Salandi Left Main Canal from RD 45.570 km to 49.810 km through Under Ground Pipe Line Irrigation system (Gravity Flow) of Anandapur Barrage Projec,Construction of Distribution system for 12155.80 Ha. of CCA including Command Area Development (CAD) of Salandi Left Main Canal from RD 45.570 km to 49.810 km through Under Ground Pipe Line Irrigation system (Gravity Flow) of Anandapur Barrage Projec,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,180.0,810.0,Salapada,758020.0,"CCE,ABP,SALAPADA ","CCE,ABP,SALAPADA ",06-May-2025 11:30 AM ,"CCE,ABP,SALAPADA",No ,No,"CCE,ABP,SALAPADA","CCE,ABP,SALAPADA",1.0,Fee/PreQual/Technical,.pdf,Technical Bid,1.0,DATE CORRIGENDUM,Date,,22-Apr-2025 10:00 AM,23-May-2025 11:30 AM,22-Apr-2025 10:00 AM,22-May-2025 05:00 PM,22-Apr-2025 10:00 AM ,03-May-2025 04:00 PM ,22-Apr-2025 10:00 AM,22-May-2025 05:00 PM,07-Nov-2025 11:30 AM,1.0,ICICI BANK,"3,62,50,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2927645,EAGLE INFRA INDIA LTD,22-May-2025 01:03 PM,Rejected-AOC,L4,12-Feb-2026 12:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financialbid,2.0,PRE BID CLARIFICATION,Other,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2926994,JSIW Infrastructure Private Limited,22-May-2025 04:26 PM,Rejected-Technical,Not Qualified in Technical Evaluation,04-Nov-2025 04:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2nd Technical corrigendum,Technical Bid,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2912599,LARSEN AND TOUBRO LIMITED,22-May-2025 02:52 PM,Accepted-AOC,1ST LOWEST,12-Feb-2026 12:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2925887,Laxmi Civil Engineering Services Pvt Ltd,22-May-2025 04:14 PM,Rejected-AOC,L2,12-Feb-2026 12:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2928611,LCC Projects Limited,22-May-2025 04:26 PM,Rejected-AOC,L2,12-Feb-2026 12:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2917927,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,22-May-2025 03:45 PM,Rejected-AOC,L3,12-Feb-2026 12:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2922426,Om Yash Projects Limited,22-May-2025 11:10 AM,Rejected-Technical,Not Qualified in Technical Evaluation,04-Nov-2025 04:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
