S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2949348.0,Raghunandan Agrawal,INR,"18,903,757",tapan kumar behera,Internal,,Tapan Kumar Behera,20-Nov-2025 07:15 PM,finsummary_540408.pdf (956.02 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,2025_EICCL_113649_2,CCE (R and B) BGR-02-2025-26,"CONSTRUCTION OF COMPOUND WALL AND APPROACH ROAD AT NEW CHC BUILDING AT KHARIAR ROAD, IN THE DISTRICT OF NUAPADA FOR THE YEAR 2025-26.",Technical,qualified,Tapan Kumar Behera,09-Oct-2025 07:27 PM,technical_540408.pdf,Finance,financial cover open,Tapan Kumar Behera,15-Oct-2025 12:26 PM,finance_540408.pdf,BOQ Comparative Chart,tapan kumar behera,Internal,,Tapan Kumar Behera,09-Oct-2025 07:36 PM,10-Oct-2025 11:30 AM,techsummary_540408.pdf (2216.74 KB),1.0,Revocation of Technical Evaluation,Abdul RafikA Class Contracto MdIliyas A Class Contractor Amreen Banu A Class Contractor and Mahes Kumar Agrawa A Class Contractor by considering Electrical License not required for the nature of work,20-Sep-2025 01:01 PM,Revocation.pdf ,2308.28,Technical Opening,29-Dec-2025,"INR 18,903,757",180.0,Salha Sangeeta Tudu,14-Feb-2026 07:27 PM,6786.pdf (741.00 KB),1,2949371,ABDUL RAFIK,03-Jun-2025 12:42 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,"CONSTRUCTION OF COMPOUND WALL AND APPROACH ROAD AT NEW CHC BUILDING AT KHARIAR ROAD, IN THE DISTRICT OF NUAPADA FOR THE YEAR 2025-26.",Building Work,Please refer tender documents ,NA ,"1,89,03,757",Civil Works - Buildings,NA ,Tender,90.0,180.0,khariar,766107.0,NA ,NA ,NA ,O/O CCE R and B CIRCLE BALANGIR,No ,No,20-May-2025 06:00 PM,04-Jun-2025 11:00 AM,20-May-2025 06:00 PM,03-Jun-2025 05:00 PM,20-May-2025 06:00 PM ,28-May-2025 05:00 PM ,20-May-2025 06:00 PM,03-Jun-2025 05:00 PM,10-Oct-2025 11:30 AM,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,CCE (R and B) BGR-02-2025-26,2025_EICCL_113649_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CCE Rand B CIRCLE BALANGIR,O/O CCE R and B CIRCLE BALANGIR,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"1,89,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of tender paper cost and EMD, GSTIN, PAN, RC and Affidavit.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,wrong technical bidder,revoked as the Techincal Evaluation Committe qualified the bid of MS Ayaan Ventures B Class Contractor as her bid is in order in the Meeting held on.,09-Oct-2025 06:59 PM,revoke2.pdf ,2201.04,Technical Opening,,,,,,,2,2949688,AMREEN BANU,03-Jun-2025 12:18 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Machineries and work Experience.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2949406,AMRITA HIRWANI,03-Jun-2025 03:29 PM,Rejected-Technical,as per Dtcn,09-Oct-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2945526,ANKIT KUMAR AGRAWAL,03-Jun-2025 02:34 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2949070,ASHUTOSH SAHU,03-Jun-2025 04:52 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2938634,Bhodev Mahala,03-Jun-2025 12:39 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2936142,BIEKANANDA GUPTA,01-Jun-2025 08:15 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2947145,BIJAY KUMAR AGRAWAL,01-Jun-2025 07:30 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2948040,BIJAY KUMAR SAHU,03-Jun-2025 04:30 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2950001,DHIRENDRA KUMAR JAIN,03-Jun-2025 04:05 PM,Rejected-Finance,Lost in transparent lottery system,20-Nov-2025 07:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
