Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EE LI CUTTACK,Internal,EE LI CUTTACK AND OTHERS,BHAGIRATHI MISHRA,13-Feb-2026 06:18 PM,finsummary_474126.pdf (299.08 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",2023_OLIC_97114_6,BID ID NO.12/DT.13.11.23,INSTALLATION AND ENERGISATION OF GOTHAGARA LIP,13-Feb-2026,"INR 1,872,221",90.0,BHAGIRATHI MISHRA,13-Feb-2026 06:21 PM,GOTHAGARA6.pdf (299.00 KB),WORK COMPLETED,1.0,2340099.0,M/S. RASHMIKANTA JENA,INR,"1,872,221",Finance,2 BIDDERS PARTICIPATION,SHDHANA BEHERA,01-Dec-2023 12:43 PM,,BOQ Comparative Chart,1,2340426,GAYATRI SERVICES,30-Nov-2023 03:15 PM,Rejected-Technical,OK,13-Feb-2026 06:16 PM,EE LI CUTTACK,Internal,EE LI CUTTACK AND OTHERS,BHAGIRATHI MISHRA,13-Feb-2026 06:16 PM,techsummary_474126.pdf (299.08 KB),AOC,"6,000",0.0,Nil,Nil,No,INSTALLATION AND ENERGISATION OF GOTHAGARA LIP,INSTALLATION AND ENERGISATION OF GOTHAGARA LIP,Please refer Tender documents. ,NA ,"18,72,221",Civil Works - Lift Irrigation Schemes,NA ,Rate Contract,90.0,NA ,BALIKUDA BLOCK,754001.0,NA ,NA ,NA ,"EE LI DIVISION, CUTTACK",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER CALL NOTICE, EMD AND ALL OTHER CONDITIONS AS PER DTCN",21-Nov-2023 10:00 AM,01-Dec-2023 10:00 AM,21-Nov-2023 10:00 AM,30-Nov-2023 05:00 PM,21-Nov-2023 10:00 AM ,30-Nov-2023 04:00 PM ,21-Nov-2023 10:00 AM,30-Nov-2023 05:00 PM,"EE LI DIVISION, CUTTACK","O/O EE LI DIVISION, CUTTACK","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",BID ID NO.12/DT.13.11.23,2023_OLIC_97114_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,1.0,ADDENDUM5614,Other,,"18,722",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2340099,M/S. RASHMIKANTA JENA,30-Nov-2023 12:35 PM,Accepted-AOC,OK,13-Feb-2026 06:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,AOC
