S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
1.0,3373576.0,PRAFULLA CHANDRA SAHOO,INR,"604,656",Finance,all bid documets and Boq are downloaded successfully,Soumerendra Narayan Behera,02-Feb-2026 12:00 PM,finance_576976.pdf,BOQ Comparative Chart,"Superintending Engineer,RDD",Internal,"AEE Estimator,AE Estimator,Rengali Dam Division",Soumerendra Narayan Behera,13-Feb-2026 01:06 PM,finsummary_576976.pdf (215.67 KB),CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||Rengali Dam Division Rengali,2026_CEBBS_124881_2,SE-RDD-05/2025-26,Procurement of Sluice Valve and Foot Valve with installation for external water supply line and pump house at Rengali Dam Site,"Superintending Engineer,RDD",Internal,"AEE Estimator,AE Estimator, Renagli Dam Division",Soumerendra Narayan Behera,13-Feb-2026 12:14 PM,techsummary_576976.pdf (146.53 KB),13-Feb-2026,"INR 604,656",45.0,Soumerendra Narayan Behera,13-Feb-2026 04:13 PM,sluicevalveworkorder.pdf (423.00 KB),Sri Prafulla Chandra Sahoo is selected for execution of work by winning transparent lottery,1,3372770,BISHNU CHARAN BILASH,29-Jan-2026 06:46 PM,Rejected-AOC,didnot win trasparent lottery,13-Feb-2026 04:13 PM,AOC,Procurement of Sluice Valve and Foot Valve with installation for external water supply line and pump house at Rengali Dam Site,Procurement of Sluice Valve and Foot Valve with installation for external water supply line and pump house at Rengali Dam Site,Please refer Tender documents. ,NA ,"6,04,656",Civil Works - Water Works,procurement of sluice valve ,Tender,90.0,45.0,"SE,RDD,Rengali Dam Site",759105.0,NA ,NA ,NA ,"SE,RDD,Rengali Dam Site",No ,No,CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||Rengali Dam Division Rengali,SE-RDD-05/2025-26,2026_CEBBS_124881_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",Nil,Nil,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,100",Yes,fixed,,Nil,Nil,21-Jan-2026 11:00 AM,02-Feb-2026 11:30 AM,21-Jan-2026 11:00 AM,31-Jan-2026 05:00 PM,21-Jan-2026 11:00 AM ,28-Jan-2026 03:00 PM ,21-Jan-2026 11:00 AM,31-Jan-2026 05:00 PM,Superintending Engineer,"SE,RDD,Rengali Dam Site",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3373576,PRAFULLA CHANDRA SAHOO,30-Jan-2026 11:39 AM,Accepted-AOC,won transparent lottery,13-Feb-2026 04:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
