Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of C.C Road with both side Guard wall from Jambu SethyHouse to Amar Mallik House and Branch road in ward no 02,Construction of C.C Road with both side Guard wall from Jambu SethyHouse to Amar Mallik House and Branch road in ward no 02,Please refer Tender documents. ,NA ,"16,94,832",Civil Works - Others,NA ,Tender,90.0,90.0,"Executive Officer, Pattamundai Municipality",754215.0,NA ,NA ,NA ,Office of the Executive Officer,No ,No,18-Aug-2025 09:00 AM,28-Aug-2025 11:00 AM,18-Aug-2025 09:00 AM,27-Aug-2025 05:00 PM,18-Aug-2025 09:00 AM ,26-Aug-2025 05:00 PM ,18-Aug-2025 09:00 AM,27-Aug-2025 05:00 PM,Municipal Bodies||Pattamundai Municipality,PM_01/2025-26,2025_ORULB_116329_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"16,948",Yes,percentage,1.0%,Nil,Nil,"EO, Pattamundai Municipality",Pattamundai,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender document as per DTCN,"6,000",0.0,Nil,Nil,No,AOC,HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,06-Feb-2026 02:40 PM,finsummary_549609.pdf (483.56 KB),HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,06-Feb-2026 02:36 PM,techsummary_549609.pdf (377.82 KB),1.0,3039666.0,SUSHREE SUSMITA MALIK,INR,"1,855,908",Municipal Bodies||Pattamundai Municipality,2025_ORULB_116329_18,PM_01/2025-26,Construction of C.C Road with both side Guard wall from Jambu SethyHouse to Amar Mallik House and Branch road in ward no 02,1,3044078,PRAVAT MALLIK (S.C),23-Aug-2025 02:15 PM,Rejected-AOC,L2,06-Feb-2026 02:49 PM,06-Feb-2026,"INR 1,855,908",90.0,Ranjan Kumar Das,06-Feb-2026 02:49 PM,AOC.pdf (571.00 KB),Finance,ok,Ranjan Kumar Das,06-Feb-2026 02:30 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Bills of Quantity,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3044084,PUSPALATA ROUT,22-Aug-2025 09:26 AM,Rejected-AOC,l3,06-Feb-2026 02:49 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3039666,SUSHREE SUSMITA MALIK,18-Aug-2025 10:18 AM,Accepted-AOC,The Bidder Was Selected as L1 Bidder Because The Bidder was Quoted Lowest Amount then another compitetor Bidders.,06-Feb-2026 02:49 PM,,,,,,,,,,,,,AOC
