Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Superintending Engineer,"Superintending Engineer M.I. Division,Nabarangpur",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,1st Corrigendum,Date,,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Nabarangapur",SEMIDNGPUR No.05/2025-26,2025_CEMIB_123622_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction Of Dumajhore Check Dam in Chandahandi Block of Nabarangpur District under MATY scheme.,Construction Of Dumajhore Check Dam in Chandahandi Block of Nabarangpur District under MATY scheme.,As per DTCN ,NA ,"41,85,491",Civil Works - Water Works,NA ,Tender,90.0,120.0,Chandahandi,764077.0,NA ,NA ,NA ,"M.I. Division,Nabarangpur",No ,No,22-Dec-2025 10:00 AM,29-Dec-2025 11:00 AM,22-Dec-2025 10:00 AM,27-Dec-2025 05:00 PM,NA ,NA ,22-Dec-2025 10:00 AM,27-Dec-2025 05:00 PM,1.0,ICICI BANK,"41,900",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,23-Feb-2026,"INR 4,198,541",120.0,CHINMAYEE MALLICK,23-Feb-2026 09:54 PM,Dumajhore.pdf (352.00 KB),AOC,1,3331658,AJAY MALLICK,27-Dec-2025 02:52 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,Superintending Engineer,Internal,"Superintending Engineer,DAO,AEE,AE",CHINMAYEE MALLICK,09-Feb-2026 08:34 PM,techsummary_572706.pdf (210.67 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Nabarangapur",2025_CEMIB_123622_3,SEMIDNGPUR No.05/2025-26,Construction Of Dumajhore Check Dam in Chandahandi Block of Nabarangpur District under MATY scheme.,Superintending Engineer,Internal,"Superintending Engineer,DAO,AEE,AE",CHINMAYEE MALLICK,23-Feb-2026 09:51 PM,finsummary_572706.pdf (210.67 KB),Finance,Bid Opening Summary,CHINMAYEE MALLICK,09-Feb-2026 08:30 PM,finance_572706.pdf,BOQ Comparative Chart,1.0,3331543.0,NIROJ KUMAR SAMAL,INR,"4,198,541",AOC
,,,,.pdf,TCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,,,,,,,,2,3331932,AKSHAYA NAYAK,27-Dec-2025 04:20 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3331786,AMRUTA PANJIA,27-Dec-2025 04:06 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3331589,BALABIRA PATRO,27-Dec-2025 04:45 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3330719,Geeta Rani Patro,27-Dec-2025 01:07 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3328607,GOBINDA GOUDA,25-Dec-2025 10:15 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3331882,KRISHNA BALLAV GOPAL,27-Dec-2025 04:12 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-No such supporting documents uploaded regarding Machinary,09-Feb-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3326389,M/S MANORANJAN SARANGI,27-Dec-2025 01:50 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3331833,M/s Rameswar Mohapatra,27-Dec-2025 04:06 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3328721,NIHAR RANJAN JENA,26-Dec-2025 12:33 AM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,3331543,NIROJ KUMAR SAMAL,27-Dec-2025 02:23 PM,Accepted-AOC,winner of lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,3332070,SAHIL KHAN,27-Dec-2025 04:55 PM,Rejected-AOC,unsuccessful in lottery,23-Feb-2026 09:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
