Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
02-Dec-2025 03:00 PM,09-Dec-2025 04:30 PM,02-Dec-2025 03:00 PM,09-Dec-2025 04:00 PM,02-Dec-2025 03:00 PM ,09-Dec-2025 04:00 PM ,02-Dec-2025 03:00 PM,09-Dec-2025 04:00 PM,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE R and B Divn NoI Bam 36/2025-26,2025_EICCL_122445_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,"Annual Repair of I.G Office Conference hall at Berhampur. Such as providing A.S.F Flooring, Vinyl Flooring AND Crill Sheet etc. for the year 2025-26. BUILDING","Annual Repair of I.G Office Conference hall at Berhampur. Such as providing A.S.F Flooring, Vinyl Flooring AND Crill Sheet etc. for the year 2025-26. BUILDING",NA ,NA ,"6,71,821",Civil Works - Buildings,NA ,Tender,90.0,30.0,Ganjam,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.","6,800",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,AOC,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,13-Feb-2026 04:04 PM,finsummary_568844.pdf (692.33 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_122445_1,SE R and B Divn NoI Bam 36/2025-26,"Annual Repair of I.G Office Conference hall at Berhampur. Such as providing A.S.F Flooring, Vinyl Flooring AND Crill Sheet etc. for the year 2025-26. BUILDING",1.0,3285080.0,Rashmita Pradhan,INR,"571,115",Finance,"13Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,11-Dec-2025 12:05 PM,finance_568844.pdf,BOQ Comparative Chart,13-Feb-2026,"INR 571,115",30.0,Somanath Tripathy,13-Feb-2026 04:10 PM,954.pdf (692.00 KB),Contract Awarded to Sri/Smt Rashmita Pradhan,1,3290565,Ajaya Kumar Patra,09-Dec-2025 03:42 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,13-Feb-2026 03:59 PM,techsummary_568844.pdf (692.33 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3286147,BAPINI SETHY,07-Dec-2025 03:44 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3291729,Chinmaya Kumar Bisoyi,09-Dec-2025 03:07 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3282910,Dandapani Pradhan,05-Dec-2025 06:41 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3286433,GOBINDA CHANDRA SETHI,07-Dec-2025 05:40 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3284719,Hrusikes Panda,06-Dec-2025 05:06 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3290496,LAXMI NARASINGHA PANDA,09-Dec-2025 02:32 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3290657,LIPUN SAHU,09-Dec-2025 03:30 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3291145,Panda Tofan Barada,09-Dec-2025 12:09 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3288859,PRAMOD KUMAR APATA,08-Dec-2025 02:13 PM,Rejected-AOC,reject in lottery,13-Feb-2026 04:10 PM,,,,,,,AOC
