Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Const. of Paver Block Road and Drain from Buda House to Abeda House in Ward No_06,Const. of Paver Block Road and Drain from Buda House to Abeda House in Ward No_06,Please refer Tender documents. ,NA ,"4,34,036",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_36,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,1,ICICI BANK,1.0,REVISED DTCN,Technical Bid,,"4,340",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, Balasore Municipality",Balasore Municipality Office,AOC,EO ME CP AE AEE,Internal,,Pranabananda Sahu,03-Feb-2026 06:05 PM,techsummary_533141.pdf (910.74 KB),EO ME CP AE AEE,Internal,,Pranabananda Sahu,03-Feb-2026 06:07 PM,finsummary_533141.pdf (910.74 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 02:23 PM,,BOQ Comparative Chart,1,2868406,Mohammed Firoz Khan,25-Mar-2025 08:06 PM,Rejected-Finance,L1,03-Feb-2026 06:07 PM,Municipal Bodies||Balasore Municipality,2025_ORULB_111643_36,BM_06_2024_25,Const. of Paver Block Road and Drain from Buda House to Abeda House in Ward No_06,1.0,2868297.0,Sk Ibrar Hossain,INR,"368,974",03-Feb-2026,"INR 434,036",60.0,Pranabananda Sahu,03-Feb-2026 06:10 PM,WO0636.pdf (702.00 KB),AOC
,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2868297,Sk Ibrar Hossain,25-Mar-2025 06:45 PM,Accepted-AOC,WO,03-Feb-2026 06:10 PM,,,,,,,,,,,,,,,,AOC
