S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3280877.0,DEEPAK PRATIHARI,INR,"1,935,701.43",Finance,16 Nos of bidders admitted,Haripriya Behera,06-Feb-2026 03:56 PM,,BOQ Comparative Chart,SE RWD Udala,Internal,,Haripriya Behera,06-Feb-2026 04:00 PM,finsummary_568493.pdf (331.17 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_122336_8,05(Onilne)/RWD/UDALA/2025-26,Construction of 01 No F Type Qtr at Ranibandh PHC in the District of Mayurbhanj,SE RWD Udala,Internal,,Haripriya Behera,06-Feb-2026 03:58 PM,techsummary_568493.pdf (331.17 KB),06-Feb-2026,"INR 1,935,701.43",180.0,Haripriya Behera,06-Feb-2026 04:02 PM,Ranibandh8A.pdf (453.00 KB),1,3286322,ARPIT ROUT,07-Dec-2025 04:55 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,"22,770",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,02-Dec-2025 01:00 PM,08-Dec-2025 05:30 PM,02-Dec-2025 01:00 PM,08-Dec-2025 05:00 PM,02-Dec-2025 01:00 PM ,08-Dec-2025 03:00 PM ,02-Dec-2025 01:00 PM,08-Dec-2025 05:00 PM,SE RWD Udala,SE RWD Udala,Construction of 01 No F Type Qtr at Ranibandh PHC in the District of Mayurbhanj,Construction of 01 No F Type Qtr at Ranibandh PHC in the District of Mayurbhanj,Please refer Tender documents. ,NA ,"22,77,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits, and other required documents as per DTCN.",1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,05(Onilne)/RWD/UDALA/2025-26,2025_CERWI_122336_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3280877,DEEPAK PRATIHARI,07-Dec-2025 02:56 PM,Accepted-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3285953,DIBYARANJAN SALANGI,07-Dec-2025 07:28 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3286380,DILLIP NAYAK,07-Dec-2025 05:45 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3283886,HARISH KUMAR BEHERA,07-Dec-2025 01:58 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3285767,Kamalakanta Choudhury,07-Dec-2025 05:40 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3288561,LINGARAJ BEHERA,08-Dec-2025 01:05 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3285192,MONALISA LENKA,06-Dec-2025 10:16 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3278943,prasanta Kumar Behera,07-Dec-2025 04:40 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3283736,RAJESH KUMAR PASHA,07-Dec-2025 01:42 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3280137,RANJEETA PRUSTY,06-Dec-2025 09:09 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3282661,RANJITA SA,07-Dec-2025 08:08 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3284092,SAGAR KUMAR SETHY,07-Dec-2025 07:41 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3289288,SHASHIKANTA BISWAL,08-Dec-2025 04:17 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3287728,SRI BISWAJIT PRADHAN,08-Dec-2025 09:57 AM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3282139,Suresh Chandra Barik,08-Dec-2025 02:23 PM,Rejected-AOC,L1,06-Feb-2026 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
