S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,29-Aug-2025 03:30 PM,19-Sep-2025 12:00 PM,29-Aug-2025 03:30 PM,18-Sep-2025 05:30 PM,29-Aug-2025 03:30 PM ,05-Sep-2025 03:30 PM ,29-Aug-2025 03:30 PM,18-Sep-2025 05:30 PM,20-Nov-2025 04:30 PM,"Canal lining and renovation of Ambabali Distributary from RD 00Km to 5.00Km including widening, extension of structures.","Canal lining and renovation of Ambabali Distributary from RD 00Km to 5.00Km including widening, extension of structures.",AS PER DTCN. ,NA ,"2,24,91,901",Civil Works - Others,NA ,Tender,90.0,180.0,Borigumma town in Koraput district.,764056.0,NA ,NA ,NA ,"HEAD OFFICE, OCCL",No ,No,"2,25,000",Yes,fixed,,Nil,Nil,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION LTD., UNIT - VIII, GOPABANDHUNAGAR, BBSR-751012",1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,VALID CI ENLISTMENT CERTIFICATE OF OCC LTD etc.","11,800",Nil,Nil,No,ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.40/OCCL/2025-26(on-line),2025_OCCL_117462_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,20-Nov-2025 01:38 PM,20-Nov-2025 04:30 PM,techsummary_550671.pdf (1564.07 KB),ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_117462_1,E-procurement Notice No.40/OCCL/2025-26(on-line),"Canal lining and renovation of Ambabali Distributary from RD 00Km to 5.00Km including widening, extension of structures.",1.0,3083621.0,BHASKAR CHANDRA NAYAK,INR,"19,120,365",Technical,Opened Successfully.,Pratap Chandra Chaudhury,19-Sep-2025 01:27 PM,,1,3085577,ANUP BUILDERS,18-Sep-2025 09:44 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:50 PM,Finance,Opened Successfully.,Pratap Chandra Chaudhury,20-Nov-2025 05:46 PM,,BOQ Comparative Chart,16-Jan-2026,"INR 19,120,365",180.0,Sarat Chandra Ghadei,17-Feb-2026 01:33 PM,TSP_11.pdf (692.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Sarat Chandra Ghadei,09-Jan-2026 01:50 PM,finsummary_550671.pdf (2443.42 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3083621,BHASKAR CHANDRA NAYAK,18-Sep-2025 01:53 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,17-Feb-2026 01:33 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3073981,HARA PRASAD NAYAK,12-Sep-2025 04:06 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3085930,JANMEJAYA CHHOTARAY,18-Sep-2025 11:25 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3085392,JMBG CONSTRUCTION,18-Sep-2025 11:36 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3079409,KAILASH PANDA,18-Sep-2025 12:35 AM,Rejected-Technical,Non-Responsive.,20-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3080669,"M/S ARNAV CONSTRUCTION, PROP. DIBYA KISHOR PADHI",16-Sep-2025 06:05 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3086279,M/s Tara Tarini Constructions Pvt. Ltd.,18-Sep-2025 02:44 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3085583,SANDEEP KUMAR BEHERA,18-Sep-2025 12:39 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3086574,Somnath Patra,18-Sep-2025 04:55 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 01:50 PM,,,,,,,,,,,,,,,,,,,,AOC
