S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,ICICI BANK,Municipal Bodies||Digapahandi NAC,DIGNAC-05/2025-26,2025_ORULB_122597_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE OFFICER NAC DIGAPAHANDI,NAC OFFICE DIGAPAHANDI,07-Dec-2025 04:00 PM,23-Dec-2025 11:00 AM,07-Dec-2025 04:00 PM,22-Dec-2025 05:30 PM,07-Dec-2025 04:00 PM ,08-Dec-2025 05:30 PM ,07-Dec-2025 04:00 PM,22-Dec-2025 05:30 PM,24-Dec-2025 05:00 PM,"9,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENTS,"Construction of Library at Janata Lane Digapahandi, Odisha","Construction of Library at Janata Lane Digapahandi, Odisha",Please refer Tender documents. ,NA ,"8,96,155",Civil Works - Others,NA ,Tender,90.0,180.0,NAC DIGAPAHANDI,761012.0,NA ,NA ,NA ,NAC OFFICE DIGAPAHANDI,No ,No,"4,720",0.0,Nil,Nil,No,AOC,CHAIRPERSON,Internal,AE ME EO ACCOUNTANT,Abinash Mishra,01-Jan-2026 07:24 PM,finsummary_570012.pdf (856.66 KB),Technical,ALL ARE QUALIFIED,Abinash Mishra,24-Dec-2025 03:46 PM,,Municipal Bodies||Digapahandi NAC,2025_ORULB_122597_6,DIGNAC-05/2025-26,"Construction of Library at Janata Lane Digapahandi, Odisha",1.0,3322807.0,PRIYARANJAN PRADHAN,INR,"896,155",1,3322976,DINABANDHU CHOUDHURY,22-Dec-2025 03:43 PM,Rejected-Finance,L2 REJECTED,01-Jan-2026 07:24 PM,15-Jan-2026,"INR 896,155",180.0,Abinash Mishra,17-Feb-2026 05:28 PM,6.pdf (789.00 KB),Finance,all are qualified,Kalu Charan Pradhan,24-Dec-2025 05:50 PM,,BOQ Comparative Chart,CHAIRPERSON,Internal,EO ME AE,Abinash Mishra,24-Dec-2025 04:46 PM,24-Dec-2025 05:00 PM,techsummary_570012.pdf (698.45 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3322807,PRIYARANJAN PRADHAN,22-Dec-2025 03:04 PM,Accepted-AOC,L1,17-Feb-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,AOC
