Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"SE,M.I.Division,Mayurbhanj","O/o SE,M.I.Division,Mayurbhanj",21-Nov-2025 10:00 AM,06-Dec-2025 11:00 AM,21-Nov-2025 10:00 AM,05-Dec-2025 05:00 PM,NA ,NA ,21-Nov-2025 10:00 AM,05-Dec-2025 05:00 PM,18-Dec-2025 04:30 PM,1.0,Change of Closing and Opening Date,Date,,"63,900",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Mayurbhanj","S.E.M.I.D. MBJ.No.- 20/MID, MBJ/2025-26",2025_CEMIB_121687_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Luhabalia Check Dam near village Luhakani in Bisoi Block of Mayurbhanj District under MATY-3 Scheme for the year 2025-26,Construction of Luhabalia Check Dam near village Luhakani in Bisoi Block of Mayurbhanj District under MATY-3 Scheme for the year 2025-26,Please refer Tender documents. ,NA ,"63,86,053",Civil Works - Others,NA ,Tender,90.0,180.0,"Bisoi,Mayurbhanj",757033.0,NA ,NA ,NA ,"O/o SE,M.I.Division,Mayurbhanj",No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost,RC,PAN,GSTIN,Affidavit,No relation and other required documents as per DTCN",AOC,Technical,Twenty nos bidder are participated,Manaranjan Hansdah,18-Dec-2025 02:41 PM,technical_566178.pdf,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Mayurbhanj",2025_CEMIB_121687_3,"S.E.M.I.D. MBJ.No.- 20/MID, MBJ/2025-26",Construction of Luhabalia Check Dam near village Luhakani in Bisoi Block of Mayurbhanj District under MATY-3 Scheme for the year 2025-26,Er Manaranjan Hansda,Internal,,Manaranjan Hansdah,21-Dec-2025 07:57 PM,finsummary_566178.pdf (758.94 KB),1.0,3279821.0,ARJUN KUMAR DAS,INR,"5,428,784",05-Jan-2026,"INR 5,428,784",180.0,Manaranjan Hansdah,05-Feb-2026 12:32 PM,Luhabalia.pdf (503.00 KB),1,3280267,AMARENDRA KUMAR BASHA,04-Dec-2025 10:50 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,Er Manaranjan Hansda,Internal,,Manaranjan Hansdah,18-Dec-2025 02:46 PM,18-Dec-2025 04:30 PM,techsummary_566178.pdf (462.52 KB),Finance,Twenty Nos Bidder are participated in financial Bid opening,Manaranjan Hansdah,21-Dec-2025 07:47 PM,finance_566178.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3279821,ARJUN KUMAR DAS,04-Dec-2025 06:56 PM,Accepted-AOC,Successful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3261472,Bhaskar Karan,27-Nov-2025 08:52 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3267622,BIJENDRA KUMAR PUTY,30-Nov-2025 08:00 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3266978,DEBENDRANATH TUDU,29-Nov-2025 10:00 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3277909,FULSAI DAMAN MARANDI,04-Dec-2025 12:25 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3280770,GANESH CHANDRA SAHOO,05-Dec-2025 11:05 AM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3264648,NILACHAKRA SAHU,28-Nov-2025 05:29 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3267082,PANKAJ KUMAR GIRI,29-Nov-2025 06:56 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3279980,PRADIPKUMAR RAY,04-Dec-2025 07:51 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3281434,RAHUL KUMAR NAYAK,05-Dec-2025 01:20 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3282398,RAJAT PRAKASH SETHI,05-Dec-2025 04:04 PM,Rejected-AOC,Unsuccessful Bidder,05-Feb-2026 12:33 PM,,,,,,,,,,,,,,AOC
