Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
26-Sep-2025 11:00 AM,14-Oct-2025 11:00 AM,26-Sep-2026 09:13 AM,13-Oct-2025 05:00 PM,26-Sep-2025 11:00 AM ,10-Oct-2025 05:00 PM ,26-Sep-2025 11:00 AM,13-Oct-2025 05:00 PM,18-Dec-2025 12:00 PM,Solar Energy based PWS with 5000ltr. Capacity HDPE Storage Tank with a staging height of 3.00 mtrs.including five years operation maintenance as per approved Drawing,Solar Energy based PWS with 5000ltr. Capacity HDPE Storage Tank with a staging height of 3.00 mtrs.including five years operation aintenance as per approved Drawing -20 Nos,Please refer Tender documents. ,NA ,"67,98,000",Civil Works - Water Works,NA ,Tender,180.0,180.0,Different locations,760004.0,NA ,NA ,NA ,"O/o Superintending Engineer, RWSS",No ,No,1.0,Fee/PreQual/Technical,.pdf,All Documents as per DTCN,"Superintending Engineer, RWSS","Nera jarada Bunglow , Berhampur",1.0,ICICI BANK,Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Berhampur,SERWSSBAM- 18 / 2025-26,2025_RWSS_118443_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"67,980",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,AOC,Finance,seven offers admitted,Bikash Kumar Pati,18-Feb-2026 05:33 PM,,BOQ Comparative Chart,Technical,Ten Offers admitted,Durga Charan Sahu,11-Dec-2025 12:51 PM,,1,3124163,AAKAR ASSOCIATES,12-Oct-2025 03:09 PM,Rejected-AOC,Looser,23-Feb-2026 03:21 PM,23-Feb-2026,"INR 5,778,814.49",180.0,Bikash Kumar Pati,23-Feb-2026 03:21 PM,ID18AOC.pdf (801.00 KB),SE RWSS,Internal,AEE RWSS DAO RWSS AE RWSS,Bikash Kumar Pati,23-Feb-2026 02:57 PM,finsummary_553526.pdf (420.49 KB),SE RWSS,Internal,AEE RWSS AE RWSS DAO RWSS,Bikash Kumar Pati,17-Dec-2025 06:20 PM,18-Dec-2025 12:00 PM,techsummary_553526.pdf (777.41 KB),Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Berhampur,2025_RWSS_118443_1,SERWSSBAM- 18 / 2025-26,Solar Energy based PWS with 5000ltr. Capacity HDPE Storage Tank with a staging height of 3.00 mtrs.including five years operation maintenance as per approved Drawing,1.0,3123447.0,ALFA PROJECTS AND SERVICES PRIVATE LIMITED,INR,"5,778,814.49",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,3123447,ALFA PROJECTS AND SERVICES PRIVATE LIMITED,13-Oct-2025 04:50 PM,Accepted-AOC,Winner,23-Feb-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,3123717,BALAJI CONTECH PROJECTS PVT LTD,13-Oct-2025 12:25 PM,Rejected-AOC,Looser,23-Feb-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,3126209,DEEPAK SAHU,13-Oct-2025 04:14 PM,Rejected-Technical,Non furnish of Document,17-Dec-2025 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,3120267,Greentech Renewable Energies,13-Oct-2025 01:20 PM,Rejected-AOC,Looser,23-Feb-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,3125421,JOY SOLAR PVT LTD,13-Oct-2025 04:41 PM,Rejected-AOC,Looser,23-Feb-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,3125217,Manoj Kumar Pradhan,13-Oct-2025 04:46 PM,Rejected-Technical,Non furnish of Document,17-Dec-2025 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,3126032,RANJAN KUMAR PATRO,13-Oct-2025 03:08 PM,Rejected-Technical,Non furnish of Document,17-Dec-2025 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,3125650,SOLAR INFRA,13-Oct-2025 03:55 PM,Rejected-AOC,Looser,23-Feb-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,3126399,Sudarshan Kumar Jain,13-Oct-2025 04:57 PM,Rejected-AOC,Looser,23-Feb-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
