Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,ok,SUDHANSU MOHAN,22-Dec-2025 03:09 PM,finance_571225.pdf,BOQ Comparative Chart,Municipal Bodies||Basudevpur Municipality,2025_ORULB_122920_40,BSP_2025-26_12,Construction of paver road from Gaya house towards Maheswar house ward no.16,1.0,3318214.0,SK SAFI,INR,"274,157",1,3316649,Kailash Chandra Muduli,19-Dec-2025 01:18 PM,Rejected-AOC,Not Selected,18-Feb-2026 05:21 PM,09-Feb-2026,"INR 274,157",45.0,SUDHANSU MOHAN,18-Feb-2026 05:21 PM,40.pdf (252.00 KB),ok,Nibedita Behera,Internal,"EO,ME,JE,Acct",SUDHANSU MOHAN,09-Feb-2026 11:08 AM,techsummary_571225.pdf (11394.88 KB),Nibedita Behera,Internal,"EO,ME,JE,ACCT",SUDHANSU MOHAN,09-Feb-2026 11:49 AM,finsummary_571225.pdf (11394.88 KB),AOC,1.0,NIT Document,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"2,733",Yes,fixed,,Nil,Nil,Municipal Bodies||Basudevpur Municipality,BSP_2025-26_12,2025_ORULB_122920_40,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,14-Dec-2025 10:00 AM,22-Dec-2025 11:00 AM,14-Dec-2025 10:00 AM,20-Dec-2025 05:00 PM,NA ,NA ,14-Dec-2025 10:00 AM,20-Dec-2025 05:00 PM,Construction of paver road from Gaya house towards Maheswar house ward no.16,Construction of paver road from Gaya house towards Maheswar house ward no.16,Please refer Tender documents. ,NA ,"2,73,305",Civil Works - Roads,NA ,Tender,90.0,45.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,EO,Basudevpur Municipality,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3319360,LAXMIPRIYA NATH,20-Dec-2025 02:50 PM,Rejected-AOC,Not Selected,18-Feb-2026 05:21 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,3,3317472,Lipak Kumar Muduli,19-Dec-2025 03:40 PM,Rejected-AOC,Not Selected,18-Feb-2026 05:21 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3310296,MD AMINUDDIN KHAN,17-Dec-2025 11:03 AM,Rejected-AOC,Not Selected,18-Feb-2026 05:21 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3319060,Santosh Kumar Panda,20-Dec-2025 01:48 PM,Rejected-AOC,Not Selected,18-Feb-2026 05:21 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3318214,SK SAFI,19-Dec-2025 08:00 PM,Accepted-AOC,Selected,18-Feb-2026 05:21 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
