S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3165607.0,SACHINDRA MALLIK,INR,"15,705,138",CCE Phulbani RandB Circle Phulbani,Internal,CCE Phulbani RandB Circle Phulbani SE Boudh RandB Division Boudh DAO Boudh RandB Division Boudh PA to CCE Phulbani RandB Circle Phulbani,Pravat Kumar Das,12-Feb-2026 04:58 PM,finsummary_556466.pdf (1148.06 KB),EIC-CIVIL||SERNB-CIRCLE-PHULBANI,2025_EICCL_119617_1,CCE_R and B_PLB_13 of 2025_26,Improvement of Boudh town Road (Butupali NH Junction to petrol pump ) from Ch 0_000KM To 0_750 KM In the District of Boudh under state plan for the year 2025_26,Technical,All document are received and under scrutiny,Pravat Kumar Das,03-Nov-2025 12:26 PM,,Finance,All document are received and under scrutiny,Pravat Kumar Das,01-Dec-2025 12:16 PM,,BOQ Comparative Chart,CCE Phulbani RandB Circle Phulbani,Internal,CCE Phulbani RandB Circle Phulbani SE Boudh RandB Division Boudh DAO Boudh RandB Division Boudh PA to CCE Phulbani RandB Circle Phulbani,Pravat Kumar Das,28-Nov-2025 02:32 PM,01-Dec-2025 11:30 AM,techsummary_556466.pdf (530.47 KB),1,3155157,ABAKASH MISHRA,26-Oct-2025 05:24 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,12-Feb-2026,"INR 15,705,138",90.0,Pravat Kumar Das,12-Feb-2026 05:17 PM,AgreementNo_424P1of2025_26.pdf (291.00 KB),Awarded being L1 bidder selected through transparent lottery system,AOC,1.0,ICICI BANK,18-Oct-2025 10:00 AM,03-Nov-2025 11:00 AM,18-Oct-2025 10:00 AM,01-Nov-2025 05:00 PM,18-Oct-2025 10:00 AM ,31-Oct-2025 05:00 PM ,18-Oct-2025 10:00 AM,01-Nov-2025 05:00 PM,01-Dec-2025 11:30 AM,Improvement of Boudh town Road (Butupali NH Junction to petrol pump ) from Ch 0_000KM To 0_750 KM In the District of Boudh under state plan for the year 2025_26,Improvement of Boudh town Road (Butupali NH Junction to petrol pump ) from Ch 0_000KM To 0_750 KM In the District of Boudh under state plan for the year 2025_26,Please Refer Tender Documents ,NA ,"1,84,74,459",Civil Works - Roads,NA ,Tender,90.0,90.0,Boudh,762014.0,NA ,NA ,NA ,Office of the CCE Phulbani RandB Circle Phulbani,No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online Bid Cost, EMD as per clause 06 of DTCN, affidavit, RC, PAN,GST",CCE Phulbani RandB Circle Phulbani,Office of the CCE Phulbani RandB Circle Phulbani District Kandhamal PIN 762001,EIC-CIVIL||SERNB-CIRCLE-PHULBANI,CCE_R and B_PLB_13 of 2025_26,2025_EICCL_119617_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,84,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3172180,AHSANULLA KHAN,01-Nov-2025 02:25 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Experience, Machineries and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3163088,KHIROD KUMAR SETHI,31-Oct-2025 01:32 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3170116,KRUTIBAS MISHRA,31-Oct-2025 04:50 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3162596,MAHENDRA SAHOO,30-Oct-2025 01:00 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3164235,MUKTESWAR NAIK,30-Oct-2025 09:28 AM,Rejected-Finance,Rejected being L1 bidder,12-Feb-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3166344,NARAYAN PRADHAN,30-Oct-2025 05:11 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3155188,NIRUPAMA DASH,26-Oct-2025 05:34 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3162851,PRITISH MISHRA,31-Oct-2025 01:26 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3171656,RAMACHANDRA SAMANTA SINGHAR,01-Nov-2025 12:16 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,12-Feb-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
