S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3266879.0,GAURAV PATEL,INR,"11,005,141.99",Technical,Tender Open,CHITARANJAN PRADHAN,03-Dec-2025 11:56 AM,technical_565827.pdf,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_39,EEOLICSBP-03/2025-26,"Installation of Bijadihi-I, Satkhama Bijadihi-II and Purunapani-IV L.I. Project under Kuchinda block in Sambalpur District",Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,27-Feb-2026 12:13 PM,finsummary_565827.pdf (574.21 KB),Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 05:08 PM,22-Dec-2025 10:00 AM,techsummary_565827.pdf (753.69 KB),Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 02:31 PM,finance_565827.pdf,BOQ Comparative Chart,27-Feb-2026,"INR 11,005,141.99",120.0,CHITARANJAN PRADHAN,27-Feb-2026 04:49 PM,39.pdf (780.00 KB),Agreement Done,1,3268602,Anup kumar agrawal,01-Dec-2025 04:13 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:49 PM,AOC,1.0,ICICI BANK,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_39,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents","Installation of Bijadihi-I, Satkhama Bijadihi-II and Purunapani-IV L.I. Project under Kuchinda block in Sambalpur District","Installation of Bijadihi-I, Satkhama Bijadihi-II and Purunapani-IV L.I. Project under Kuchinda block in Sambalpur District",Please refer Tender documents. ,NA ,"1,29,45,703",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Kuchinda,768222.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,"1,29,457",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3265445,ASHIS KUMAR PATEL,30-Nov-2025 12:10 AM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:49 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3267836,BANSHIDHAR JIT,30-Nov-2025 04:26 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3268059,BIJAYA KUMAR NAIK,30-Nov-2025 05:08 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3268957,Ganesh Chandra Minz,01-Dec-2025 12:12 PM,Rejected-Technical,He has only one year experience certificate uploaded,21-Dec-2025 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3266879,GAURAV PATEL,30-Nov-2025 12:08 AM,Accepted-AOC,Award of Contract,27-Feb-2026 04:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3265229,KULDEEP KISAN,29-Nov-2025 02:52 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3268330,MS Shree Shyam and Co,01-Dec-2025 01:44 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3268812,RAJU AGRAWL,01-Dec-2025 01:49 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3270221,RAKESH RANJAN SAHU,01-Dec-2025 04:44 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
