S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2479496.0,PAL CONSTRUCTION,INR,"73,338,773",Er Sagar Mohanty,External,"Er P K Das, Er S K Behera, Er CR Bhuyan, Er D K Rout, Smt. Sasmita Puhan, Er S Ch Badek",Chitta Ranjan Bhuyan,13-Jan-2026 05:15 PM,finsummary_496630.pdf (3297.05 KB),"CE-BM,BSB Basin,Laxmiposi",2024_CEBML_101820_3,"49/ 23-24 of CEBM, SBB, Laxmiposi","C. Restoration and Protection to left bank of river Gangahar near village Sirakoili, Shrirampur, Gangpura and Muturidei.",Technical,The technical bid documents of the above bidders have been downloaded successfully from website,Ramakanta Mohapatra,06-Apr-2024 05:56 PM,technical_496630.pdf,Finance,The financial bid documents of the above bidders have been downloaded successfully from website.,Ramakanta Mohapatra,25-Oct-2025 05:37 PM,finance_496630.pdf,BOQ Comparative Chart,Er Sagar Mohanty,External,Er SK Tripathy Er SK Behera Er CR Bhuyan Er DK Rout Smt Sasmita Puhan ER MR Dash,Chitta Ranjan Bhuyan,24-Oct-2025 12:14 PM,25-Oct-2025 11:00 AM,techsummary_496630.pdf (3674.07 KB),15-Jan-2026,"INR 73,338,773",548.0,Sanjib Kumar Nayak,24-Feb-2026 12:52 PM,AocMuturidei.pdf (584.00 KB),"The work is awarded to M/sPal construction vide Memo No.110/WE dt.09.01.26 of SE, BID, Balasore",1,2480030,AMLAN SAMAL,18-Mar-2024 03:28 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,"CE-BM,BSB Basin,Laxmiposi","49/ 23-24 of CEBM, SBB, Laxmiposi",2024_CEBML_101820_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,26-Feb-2024 05:30 PM,19-Mar-2024 11:00 AM,26-Feb-2024 05:30 PM,18-Mar-2024 05:00 PM,26-Feb-2024 05:30 PM ,15-Mar-2024 05:00 PM ,26-Feb-2024 06:00 PM,18-Mar-2024 05:00 PM,25-Oct-2025 11:00 AM,"CE and BM, S and B Basin, Laxmiposi","Office of the CE and BM, S and B Basin, Laxmiposi",1.0,ICICI BANK,"8,62,800",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,"C. Restoration and Protection to left bank of river Gangahar near village Sirakoili, Shrirampur, Gangpura and Muturidei.","C. Restoration and Protection to left bank of river Gangahar near village Sirakoili, Shrirampur, Gangpura and Muturidei.",As per Technical Bid ,NA ,"8,62,70,760",Civil Works - Others,NA ,Tender,90.0,548.0,Remuna Block Baalsore,756019.0,NA ,NA ,NA ,"Office of the CE and BM, S and B Basin, Laxmiposi",No ,No,1.0,Fee/PreQual/Technical,.pdf,"EMD, GST, PAN, Contractors R.C., Affidavit, no relationship with Department etc.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2479271,AMRIT BARAL,17-Mar-2024 03:07 PM,Rejected-Technical,"As per approval of Technical bid Lr No.30400 dt.22.10.2025 of EIC, Procurement, DoWR",24-Oct-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2478496,ANSUMAN ROUT,17-Mar-2024 05:03 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2478474,Atanu Kumar Paul,18-Mar-2024 08:37 AM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2480128,BHOOMEE CONDEV PRIVATE LIMITED,18-Mar-2024 04:48 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2478475,BIJOY KUMAR ROUT,18-Mar-2024 03:29 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2479645,BINAY BHUSAN NAYAK,18-Mar-2024 11:46 AM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2479040,DINESH PRADHAN,16-Mar-2024 08:03 PM,Rejected-Technical,"As per approval of Technical bid Lr No.30400 dt.22.10.2025 of EIC, Procurement, DoWR",24-Oct-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2479024,JITENDRA KUMAR PARIDA,18-Mar-2024 03:10 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2478704,LAXMINARAYAN MALLICK,16-Mar-2024 12:26 PM,Rejected-Finance,"As per approval of financial bid in EIC, Procurement Lr No. 37105 dated 18.12.2025",13-Jan-2026 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
