Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
EE,Internal,EE DAO Estimator,Madhusmita Dalei,13-Feb-2026 01:06 PM,techsummary_568399.pdf (614.24 KB),Finance,All bidders are accepted,Madhusmita Dalei,13-Feb-2026 01:03 PM,finance_568399.pdf,BOQ Comparative Chart,13-Feb-2026,"INR 357,136",30.0,Madhusmita Dalei,13-Feb-2026 01:12 PM,913.pdf (614.00 KB),He is submitted EMD at th time of agreement,1.0,3280036.0,PRAGATI MISHRA,INR,"357,136",EE,Internal,EE DAO Estimator,Madhusmita Dalei,13-Feb-2026 01:10 PM,finsummary_568399.pdf (614.24 KB),1,3276166,Amit Bansal,05-Dec-2025 12:56 PM,Rejected-Technical,Disqulified,13-Feb-2026 01:06 PM,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,2025_CERWI_121572_162,Online Tender07/EERW Division Boudh 2025-26,Repair of Police Station Holding Board and other repair worksat Manmunda PS for the year 2025-26,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate,PAN,GSTIN towards paper cost EMD affidvit other documents asper DTCN","4,200",Yes,fixed,,Nil,Nil,01-Dec-2025 10:00 AM,06-Dec-2025 11:00 AM,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,01-Dec-2025 10:00 AM ,04-Dec-2025 05:00 PM ,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,"2,000",0.0,Nil,Nil,No,Repair of Police Station Holding Board and other repair worksat Manmunda PS for the year 2025-26,Repair of Police Station Holding Board and other repair worksat Manmunda PS for the year 2025-26,Please refer DTCN ,NA ,"4,20,111",Civil Works - Buildings,NA ,Tender,90.0,30.0,O/o SERWDivision Boudh,762014.0,NA ,NA ,NA ,O/o SERWDivision Boudh,No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,Online Tender07/EERW Division Boudh 2025-26,2025_CERWI_121572_162,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EERW Division Boudh,o/o SERW Division Boudh,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3270484,ANANDA KUMAR PANDA,05-Dec-2025 10:17 PM,Rejected-Technical,Disqualified,13-Feb-2026 01:06 PM,,,,,AOC,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3272185,ARUP MEHER,04-Dec-2025 01:28 AM,Rejected-Technical,Disqulified,13-Feb-2026 01:06 PM,,,,,AOC,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3283431,ASHUTOSH MAHAPATRA,05-Dec-2025 11:24 PM,Rejected-Technical,Disqualified,13-Feb-2026 01:06 PM,,,,,AOC,,,.pdf,Valid e mail ID and phone number are mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3281293,BIPRACHANDRA BEHERA,05-Dec-2025 10:39 PM,Rejected-Technical,Disqualified,13-Feb-2026 01:06 PM,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3280481,Biswajit Mahalik,05-Dec-2025 07:32 PM,Rejected-Technical,Disquilified,13-Feb-2026 01:06 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3270621,Biswanath Patra,04-Dec-2025 02:55 AM,Rejected-Technical,Disqulified,13-Feb-2026 01:06 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3282894,KULAMANI MAJHI,06-Dec-2025 08:31 AM,Rejected-Technical,Disqualified,13-Feb-2026 01:06 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3270900,Prachiprabha Karmi,01-Dec-2025 10:04 PM,Rejected-Technical,Disqulified,13-Feb-2026 01:06 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3280036,PRAGATI MISHRA,06-Dec-2025 12:54 AM,Accepted-AOC,He is win the lottery system,13-Feb-2026 01:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
