S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3120481.0,TRILOCHAN SAHU,INR,"561,462.78",Finance,summary,Ashok Kumar Sethi,04-Feb-2026 01:45 AM,finance_554163.pdf,BOQ Comparative Chart,se,Internal,,Ashok Kumar Sethi,04-Feb-2026 01:56 AM,finsummary_554163.pdf (136.79 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_118683_7,Bid Identification No.- 11/ MIDA / 2025-26,Repair And Improvement To Rengalabeda Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,se,Internal,,Ashok Kumar Sethi,04-Feb-2026 01:49 AM,techsummary_554163.pdf (136.79 KB),04-Feb-2026,"INR 561,462.78",90.0,Ashok Kumar Sethi,04-Feb-2026 02:04 AM,rengalbedaimpcd.pdf (137.00 KB),1,3110516,ALOK KUMAR SWAIN,05-Oct-2025 12:00 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,"6,700",Yes,fixed,,Nil,Nil,26-Sep-2025 10:00 AM,13-Oct-2025 10:00 AM,26-Sep-2025 10:05 AM,10-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 10:10 AM,10-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN",SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No.- 11/ MIDA / 2025-26,2025_CEMIB_118683_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair And Improvement To Rengalabeda Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,Repair And Improvement To Rengalabeda Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,Please refer Tender documents. ,NA ,"6,61,000",Civil Works - Others,NA ,Rate Contract,90.0,90.0,GHATAGAON,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3119324,ANIL KUMAR NAYAK,10-Oct-2025 04:14 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3110983,ARATI JENA,05-Oct-2025 03:25 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3109954,BIJAY KUMAR SAHOO,04-Oct-2025 06:07 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3101685,DURYODHAN SAHOO,27-Sep-2025 08:29 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3121384,JAY MAHADEV CONSTRUCTION,10-Oct-2025 01:22 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3114297,JYOTISMITA SAHU,07-Oct-2025 08:38 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3120869,KUNDAN KUMAR SETHY,09-Oct-2025 07:51 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3107414,Mamata Mayee Mishra,03-Oct-2025 03:07 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3121316,MITALI SWAIN,10-Oct-2025 02:32 PM,Rejected-Finance,lottery,04-Feb-2026 01:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
