S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3316308.0,Rakesh Jadav,INR,"7,091,976.1","CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2025_CEMIB_122575_1,SE MID SNG16/2025-26,Construction of Talbahali Check Dam over local nalla near village Budhabhuin in Lahunipara Block of Sundargarh District under MATY Scheme 2025-26.,Technical,The above 11Nos. bidders have participated in tender But Sahil Kumar Ray rejected due to already availed 3nos. of EMD Exemptionand Others 10nos. bidders have been technically qualified. Hence their financial bids have been opened.,DHIRENDRA KUMAR NAIK,24-Dec-2025 05:57 PM,technical_569409.pdf,"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,08-Jan-2026 05:32 PM,finsummary_569409.pdf (929.07 KB),"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,24-Dec-2025 06:01 PM,26-Dec-2025 09:00 AM,techsummary_569409.pdf (742.10 KB),Finance,All the 10 nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence all the valid tenders have been taken into CS.,DHIRENDRA KUMAR NAIK,08-Jan-2026 05:26 PM,finance_569409.pdf,BOQ Comparative Chart,13-Jan-2026,"INR 7,091,976.1",120.0,DHIRENDRA KUMAR NAIK,05-Feb-2026 04:30 PM,talbahali.pdf (959.00 KB),The tender of Sri Rakesh Jadav B class Engg. contractor decided in Transparent Lottery Amounting to Rs 7091976.10 being 14.99 percent less than the Tendered value is accepted.,1,3283186,BIJAY KETAN SAHU,19-Dec-2025 04:09 PM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,"83,425",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Affidavit, PAN, GSTIN, CDMS License, No Relation Certificate",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Construction of Talbahali Check Dam over local nalla near village Budhabhuin in Lahunipara Block of Sundargarh District under MATY Scheme 2025-26.,Construction of Talbahali Check Dam over local nalla near village Budhabhuin in Lahunipara Block of Sundargarh District under MATY Scheme 2025-26.,B class contractor ,NA ,"83,42,520",Civil Works - Others,check dam ,Tender,90.0,120.0,Lahunipara Block,770040.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG16/2025-26,2025_CEMIB_122575_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"S.E. M.I. Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi",05-Dec-2025 10:00 AM,20-Dec-2025 11:00 AM,05-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,05-Dec-2025 10:00 AM ,19-Dec-2025 05:30 PM ,05-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,26-Dec-2025 09:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3316102,DHANESWAR BARAD,19-Dec-2025 10:24 AM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3316854,DHANESWAR MAJHI,19-Dec-2025 01:23 PM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3317601,DURGA MADHABA TAPNO,19-Dec-2025 04:22 PM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3317868,GIRIJA SHANKAR PANDA,19-Dec-2025 05:21 PM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3310726,GOPAL TOPPO,19-Dec-2025 01:37 PM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3317125,Kamal Muduli,19-Dec-2025 02:14 PM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3316895,NIBHA MISHRA,19-Dec-2025 01:24 PM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3311961,Rajendra Dhar,17-Dec-2025 06:05 PM,Rejected-AOC,Rejected,05-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3316308,Rakesh Jadav,19-Dec-2025 11:20 AM,Accepted-AOC,Accepted,05-Feb-2026 04:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
