Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,Sixteen bidders have participated,Amar Chandra Kumar,15-Nov-2025 01:57 PM,,BOQ Comparative Chart,1,3176731,BALLABHI SAHU,04-Nov-2025 01:20 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,2025_CERWI_120285_26,ONLINE 11 OF 2025-26,Periodical maintenance of Jaring to Bandhpali road from ch. 0.00km to 1.248 km,1.0,3189862.0,LAKSHAPATI MAHANANDA,INR,"1,477,655",04-Feb-2026,"INR 1,477,655",60.0,Tapas Ranjan Lenka,28-Feb-2026 12:01 PM,aoc.pdf (193.00 KB),148/P1 of 2025-26,"Er. Tapas Ranjan Lenka, EE",Internal,Amar ch. kumar DA Lalit Ku. Naik JE Estr. I/c,Amar Chandra Kumar,24-Jan-2026 07:22 PM,techsummary_559874.pdf (192.73 KB),"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Kumar Naik JE Estr. I/c,Amar Chandra Kumar,26-Jan-2026 01:29 PM,finsummary_559874.pdf (192.73 KB),AOC,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,ONLINE 11 OF 2025-26,2025_CERWI_120285_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Periodical maintenance of Jaring to Bandhpali road from ch. 0.00km to 1.248 km,Periodical maintenance of Jaring to Bandhpali road from ch. 0.00km to 1.248 km,Please refer Tender documents. ,NA ,"17,38,213",Civil Works - Roads,NA ,Tender,90.0,60.0,Padampur,768036.0,NA ,NA ,NA ,"O/o the E.E RURAL WORKS DIVISION, PADAMPUR",No ,No,"EE R.W Division,Padampur","At.Po-Padampur, Rajapada, Dist. Bargarh","17,380",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Copy of Tender cost,EMD along with Affidavit,PAN,RC,GSTIN and other docs as per DTCN",30-Oct-2025 10:00 AM,11-Nov-2025 11:00 AM,30-Oct-2025 10:00 AM,10-Nov-2025 05:00 PM,30-Oct-2025 10:00 AM ,07-Nov-2025 05:00 PM ,30-Oct-2025 10:00 AM,10-Nov-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,2,3169331,Chandan Lal Bansal,05-Nov-2025 08:57 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,3,3208974,DILLIP KUMAR PRADHAN,10-Nov-2025 04:55 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3197345,JALANDHAR DUDUKA,08-Nov-2025 03:54 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3203840,KAMALINI BARIK,09-Nov-2025 10:58 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3189862,LAKSHAPATI MAHANANDA,07-Nov-2025 06:43 AM,Accepted-AOC,awarded,28-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3203958,MANORANJAN BARIK,09-Nov-2025 11:21 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3197753,PRADEEP KUMAR SAHU,08-Nov-2025 03:46 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3193020,PRATIMA SAHU,07-Nov-2025 12:40 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3193871,Purandar Sahu,07-Nov-2025 02:22 PM,Rejected-Finance,Not successful in lottery,26-Jan-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
