Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
12-Feb-2026,"INR 1,973,674",30.0,Sanjeet Kumar Naik,12-Feb-2026 12:42 PM,7220.pdf (518.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_119949_11,RWDRRP-08 of 25-26,Periodical maint of Andharjhari to Allahpani Road for the year 2025-26. (SDBC),1.0,3185045.0,PRADIPKUMAR RAY,INR,"1,973,674",1,3192660,Amit kumar sahu,07-Nov-2025 11:31 AM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,Finance,open,Sanjeet Kumar Naik,12-Feb-2026 12:29 PM,finance_557816.pdf,BOQ Comparative Chart,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,12-Feb-2026 12:37 PM,finsummary_557816.pdf (517.63 KB),Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,12-Feb-2026 12:32 PM,techsummary_557816.pdf (517.63 KB),AOC,27-Oct-2025 11:00 AM,10-Nov-2025 11:30 AM,27-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,27-Oct-2025 11:00 AM ,06-Nov-2025 05:00 PM ,27-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,"23,220",Yes,percentage,1.0%,Nil,Nil,SERWD Rairangpur,SERWD Rairangpur,Periodical maint of Andharjhari to Allahpani Road for the year 2025-26. (SDBC),Periodical maint of Andharjhari to Allahpani Road for the year 2025-26. (SDBC),Please refer Tender documents. ,NA ,"23,22,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-08 of 25-26,2025_CERWI_119949_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,tender documents as per DTCN,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3185607,BRAJA KISHORE MOHANTA,06-Nov-2025 05:31 PM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,3,3184932,DIPTIRANI RAY,05-Nov-2025 04:36 PM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3192472,HAREKRISHNA NAYAK,07-Nov-2025 01:07 PM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3192536,JAYANTA KUMAR ACHARYA,07-Nov-2025 11:39 AM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3192497,MANOJ KUMAR MANDAL,07-Nov-2025 11:28 AM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3182338,MOHAN MOHANTA,05-Nov-2025 05:16 PM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3185045,PRADIPKUMAR RAY,05-Nov-2025 05:04 PM,Accepted-AOC,Lottery winner,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3191634,PRATIMA PADHI,06-Nov-2025 09:52 PM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3186737,SHIBANANDA PADHI,05-Nov-2025 10:18 PM,Rejected-AOC,Lottery,12-Feb-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
