Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,RN SETHI,Rabindranath Sethi,05-Feb-2026 03:37 PM,finance_568964.pdf,BOQ Comparative Chart,1.0,3298020.0,UMAKANTA NAIK,INR,"3,090,813","CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",2025_CEMIB_122473_17,05/BGR/2025-26,Construction of Luchkibandh Check Dam in Balangir Block of Balangir District under the scheme MATY 3.0 for the year 2025-26,1,3297744,ABHIJEET MANDAL,12-Dec-2025 04:57 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,10-Feb-2026,"INR 3,090,813",120.0,Rabindranath Sethi,10-Feb-2026 12:30 PM,Result.pdf (347.00 KB),RN SETHI,Internal,,Rabindranath Sethi,05-Feb-2026 03:39 PM,techsummary_568964.pdf (347.03 KB),RN SETHI,Internal,,Rabindranath Sethi,05-Feb-2026 03:44 PM,finsummary_568964.pdf (347.02 KB),AOC,1.0,ICICI BANK,03-Dec-2025 10:00 AM,15-Dec-2025 10:00 AM,03-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,NA ,NA ,03-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,"SE, M.I. Division,Balangir","O/o the SE, M.I. Division,Balangir","CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",05/BGR/2025-26,2025_CEMIB_122473_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Luchkibandh Check Dam in Balangir Block of Balangir District under the scheme MATY 3.0 for the year 2025-26,Construction of Luchkibandh Check Dam in Balangir Block of Balangir District under the scheme MATY 3.0 for the year 2025-26,Please refer Tender documents. ,NA ,"30,81,206",Civil Works - Water Works,NA ,Tender,90.0,120.0,Balangir,767001.0,NA ,NA ,NA ,"O/o the SE, M.I. Division,Balangir",No ,No,"30,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid RC, valid GST, Valid PAN, Affidavit, NRC, Tender Cost, EMD, any other documents as per DTCN","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3295233,ABHIJIT PANIGRAHI,11-Dec-2025 05:01 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,AOC
,,,,,,,,,,,,,,,3,3297053,ABHINASH NAG,12-Dec-2025 12:01 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3298305,ABHISEK PANIGRAHI,12-Dec-2025 04:57 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3287413,AJAYA KUMAR PANDA,08-Dec-2025 05:14 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3292567,BASANTA TRIPATHY,09-Dec-2025 11:33 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3297828,BASUDEV DANDASENA,12-Dec-2025 02:47 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3296388,BIJAYA KUMBHAR,12-Dec-2025 01:29 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3295854,CH SUBASH CHANDRA PATRO,12-Dec-2025 04:07 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3293818,DEEPANJALI BEHERA,11-Dec-2025 06:07 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3296776,DINABADHU BEHERA,12-Dec-2025 09:46 AM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3293074,GOURI MEHER,10-Dec-2025 01:26 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3295934,HARAPRASAD SAHU,11-Dec-2025 08:58 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3294545,Janmesh Kumar Tripathy,11-Dec-2025 10:09 AM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3297838,Koushal Kumar Agrawal,12-Dec-2025 02:50 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,3295557,Kunja Bihari Sahu,12-Dec-2025 02:08 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,17,3297624,LAMBODAR BISWAL,12-Dec-2025 01:47 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,18,3297715,Mahesh Kumar Agrawal,12-Dec-2025 02:03 PM,Rejected-Finance,Rejected,05-Feb-2026 03:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
