EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"16,900",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,NRC,AFFIDAVIT,EMD AND OTHER DOCUMENTS AS PER DTCN",CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-NUAPADA,RWNPD-03/2025-26,2025_CERWI_122146_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,NH-217 to Jadamunda for the year 2025-26,NH-217 to Jadamunda for the year 2025-26,As per DTCN ,NA ,"16,80,761",Civil Works - Roads,NA ,Tender,90.0,30.0,NUAPADA,766105.0,NA ,NA ,NA ,"O/o the S.E.R.W.Division,Nuapada",No ,No,28-Nov-2025 06:00 PM,09-Dec-2025 11:00 AM,28-Nov-2025 06:00 PM,08-Dec-2025 05:00 PM,28-Nov-2025 06:00 PM ,07-Dec-2025 05:00 PM ,28-Nov-2025 06:00 PM,08-Dec-2025 05:00 PM,Executive Engineer,"O/o the S.E.R.W.Division,Nuapada",AOC,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-NUAPADA,2025_CERWI_122146_3,RWNPD-03/2025-26,NH-217 to Jadamunda for the year 2025-26,Financial,Internal,EE DAO ESTIMATER,Raj Kumar Meher,05-Feb-2026 11:07 AM,finsummary_567871.pdf (1104.38 KB),Finance,Tender open,Raj Kumar Meher,05-Feb-2026 10:53 AM,,BOQ Comparative Chart,1.0,3287300.0,ALIA KHAN,INR,"1,428,815",1,3287300,ALIA KHAN,08-Dec-2025 12:21 AM,Accepted-AOC,Accepted,05-Feb-2026 11:14 AM,05-Feb-2026,"INR 1,428,815",30.0,Raj Kumar Meher,05-Feb-2026 11:14 AM,AOC.pdf (996.00 KB),AOC,Technical,Internal,EE DAO ESTIMATER,Raj Kumar Meher,05-Feb-2026 10:59 AM,techsummary_567871.pdf (1104.39 KB),AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quanity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3283372,ANITH KUMAR THANAPATI,07-Dec-2025 05:31 AM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3279437,AYUSH KUMAR JAIN,04-Dec-2025 06:46 PM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3287240,BASANTA KUMAR DANDSENA,07-Dec-2025 10:05 PM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3283501,DHIBAR DHARUA,07-Dec-2025 12:31 AM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3288420,HARE KRUSHNASABAR,08-Dec-2025 12:43 PM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3287290,KANTI SAHU,08-Dec-2025 09:10 AM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3289361,MANAS RANJAN BIBHAR,08-Dec-2025 03:09 PM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3278707,MANPRIT KOUR,07-Dec-2025 03:31 AM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3284374,NANDALAL BAG,06-Dec-2025 07:22 PM,Rejected-AOC,Reject,05-Feb-2026 11:14 AM,,,,,,,,,,,,,,AOC
