Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",BID ID NO. 04/01.05.2025,2025_OLIC_113095_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER COST, EMD AND ALL OTHER DOCUMENTS AS PER DTCN",Reinforcement of BILISARDARPUR R.L.,Reinforcement of BILISARDARPUR R.L.,Please refer Tender documents. ,NA ,"12,20,629",Civil Works - Lift Irrigation Schemes,NA ,Rate Contract,90.0,NA ,BANKI,754001.0,NA ,NA ,NA ,EE LI CUTTACK,No ,No,"12,206",Yes,fixed,,Nil,Nil,05-May-2025 10:00 AM,15-May-2025 10:00 AM,05-May-2025 10:00 AM,14-May-2025 05:00 PM,05-May-2025 10:00 AM ,14-May-2025 04:00 PM ,05-May-2025 10:00 AM,14-May-2025 05:00 PM,"7,080",0.0,Nil,Nil,Yes,EE LI CUTTACK,O/O EE LI CUTTACK,AOC,EE LI CUTTACK,Internal,EE LI CUTTACK AND OTHERS,PRASANTA KUMAR BEHERA,17-Feb-2026 11:34 PM,finsummary_538369.pdf (2878.32 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",2025_OLIC_113095_14,BID ID NO. 04/01.05.2025,Reinforcement of BILISARDARPUR R.L.,1.0,2917127.0,NARAYAN PRUSTY,INR,"1,220,629",Finance,2 Bidders Participant,SHDHANA BEHERA,15-May-2025 04:11 PM,,BOQ Comparative Chart,1,2917127,NARAYAN PRUSTY,13-May-2025 10:12 PM,Accepted-AOC,OK,22-Feb-2026 01:03 PM,22-Feb-2026,"INR 1,220,629",90.0,PRASANTA KUMAR BEHERA,22-Feb-2026 01:03 PM,bilisardhapur.pdf (191.00 KB),WORK ORDER ISSUE,EE LI CUTTACK,Internal,Work Order Issue,PRASANTA KUMAR BEHERA,30-Jan-2026 10:21 PM,techsummary_538369.pdf (4210.63 KB),AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2917513,SUBASH CHANDRA BEHERA,14-May-2025 12:57 PM,Rejected-Technical,OK,30-Jan-2026 10:21 PM,,,,,,,,,,,,,,AOC
