S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3274359.0,AMARENDRA PRASAD SAHOO,INR,"2,719,768",Finance,26 bids opened successfully,Lipsa Parida,04-Dec-2025 01:00 PM,finance_565928.pdf,BOQ Comparative Chart,City engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,04-Feb-2026 04:50 PM,finsummary_565928.pdf (6428.27 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_121641_6,BMC-EE-Tender Cell-43/2025-26 Dt. 20.11.2025,"Construction of Road from Tata Ariana Main Road to P.No 2442 and 2433, P.No. 1367/9780 at Sankarpur in Ward No. 23",City engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,04-Feb-2026 04:42 PM,techsummary_565928.pdf (4400.29 KB),04-Feb-2026,"INR 2,719,768",75.0,Lipsa Parida,04-Feb-2026 04:55 PM,Workorder_6.pdf (521.00 KB),1,3266298,ABHIJIT MOHAPATRA,29-Nov-2025 01:44 PM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,Executive Engineer (Central Tender Cell),"UG Floor,BMC ICOMC Tower,Bhubaneswar,751022","Construction of Road from Tata Ariana Main Road to P.No 2442 and 2433, P.No. 1367/9780 at Sankarpur in Ward No. 23","Construction of Road from Tata Ariana Main Road to P.No 2442 and 2433, P.No. 1367/9780 at Sankarpur in Ward No. 23",Please refer Tender documents. ,NA ,"27,11,314",Civil Works - Roads,NA ,Tender,120.0,75.0,BMC Area,751022.0,Office Chamber of EE Central Tender Cell ,"UG Floor,BMC ICOMC Tower,Bhubaneswar,751022 ",26-Nov-2025 04:00 PM ,Central Tender Cell,No ,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-43/2025-26 Dt. 20.11.2025,2025_ORULB_121641_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"27,200",Yes,fixed,,Nil,Nil,22-Nov-2025 11:30 AM,04-Dec-2025 11:30 AM,22-Nov-2025 11:30 AM,03-Dec-2025 05:00 PM,22-Nov-2025 11:30 AM ,26-Nov-2025 12:30 PM ,22-Nov-2025 11:30 AM,03-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3271094,AJAYA KUMAR JENA,02-Dec-2025 08:51 AM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3274359,AMARENDRA PRASAD SAHOO,03-Dec-2025 12:58 PM,Accepted-AOC,L1 bidder,04-Feb-2026 04:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3266396,ANJAN KUMAR DAS,29-Nov-2025 04:42 PM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3275042,BIDYADHAR PRADHAN,03-Dec-2025 02:44 PM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3262942,CHANDAN PRASAD JENA,28-Nov-2025 12:12 PM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3264032,DIBESH KUMAR NAYAK,28-Nov-2025 03:22 PM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3264196,DIPAK PRADHAN,28-Nov-2025 03:48 PM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3257119,DIPTI RANJAN SAHOO,26-Nov-2025 01:34 PM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3262793,JITENDRA JENA,28-Nov-2025 02:39 PM,Rejected-Finance,Rejected,04-Feb-2026 04:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
