Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
S/R to New RI Circle Building at Gressingia for the year 2025-26,S/R to New RI Circle Building at Gressingia for the year 2025-26,S/R to New RI Circle Building at Gressingia for the year 2025-26 ,NA ,"2,18,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"OO the SE,RWD,PHULBANI",762001.0,NA ,NA ,NA ,"OO the SE,RWD,PHULBANI",No ,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,Online Tender/09/SERWD PHULBANI/2025-26,2025_CERWI_121930_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,Yes,"OO the SE,RWD,PHULBANI","OO the SE,RWD,PHULBANI",28-Nov-2025 06:00 PM,05-Dec-2025 11:30 AM,28-Nov-2025 06:00 PM,04-Dec-2025 05:00 PM,28-Nov-2025 06:00 PM ,03-Dec-2025 03:00 PM ,28-Nov-2025 06:00 PM,04-Dec-2025 05:00 PM,1.0,ICICI BANK,"2,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,S.E,Internal,,Pragyan Devi,11-Feb-2026 05:33 PM,finsummary_567294.pdf (129.83 KB),S.E,Internal,,Pragyan Devi,11-Feb-2026 05:27 PM,techsummary_567294.pdf (129.83 KB),11-Feb-2026,"INR 185,392",30.0,Kartikeswar Sahu,11-Feb-2026 07:19 PM,gressingiaaoc.pdf (258.00 KB),1.0,3275966.0,M/S BALUNKESWAR TRADING CO,INR,"185,392",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,2025_CERWI_121930_21,Online Tender/09/SERWD PHULBANI/2025-26,S/R to New RI Circle Building at Gressingia for the year 2025-26,1,3276507,AJAYA KUMAR MOHAPATRA,03-Dec-2025 09:00 PM,Rejected-AOC,Unsuccessful Bidder,11-Feb-2026 07:19 PM,Finance,13 Nos of Bidder Participated,Pragyan Devi,11-Feb-2026 05:22 PM,finance_567294.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BoQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3269564,CH MOHAN PRASAD SUBUDHI,04-Dec-2025 12:55 PM,Rejected-AOC,Unsuccessful Bidder,11-Feb-2026 07:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3276788,GOLDEN PRADHAN,04-Dec-2025 03:45 PM,Rejected-AOC,Unsuccessful Bidder,11-Feb-2026 07:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3271595,KALYANI KUMARI NAYAK,03-Dec-2025 06:01 PM,Rejected-AOC,Unsuccessful Bidder,11-Feb-2026 07:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3279205,Manoj Kumar Behera,04-Dec-2025 04:14 PM,Rejected-AOC,Unsuccessful Bidder,11-Feb-2026 07:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3275966,M/S BALUNKESWAR TRADING CO,04-Dec-2025 08:31 AM,Accepted-AOC,Successful Bidder selected from transparent lottery system,11-Feb-2026 07:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3277673,Ram Prasad Sahu,04-Dec-2025 02:09 PM,Rejected-AOC,Unsuccessful Bidder,11-Feb-2026 07:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3273307,RINKU DALA BEHERA,03-Dec-2025 07:52 AM,Rejected-AOC,Unsuccessful Bidder,11-Feb-2026 07:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3278361,SACHIBA KUMAR RATH,04-Dec-2025 01:39 PM,Rejected-AOC,Unsuccessful Bidder,11-Feb-2026 07:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3278990,SANJAYA KUMAR MOHANTY,04-Dec-2025 04:42 PM,Rejected-Technical,Disqualified,11-Feb-2026 05:27 PM,,,,,,,AOC
