S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2972275.0,SANJEEB KUMAR NAYAK,INR,"96,369,708",Principal Secretary to Govt. Works Dept Odisha,Internal,EIC Civil cum Roads Odisha CE Buildings I Odisha FA cum Special Secy Works Dept,Ashok Kumar Lenka,02-Feb-2026 01:38 PM,finsummary_542976.pdf (897.83 KB),EIC-CIVIL,2025_EICCL_114431_1,C.E. (B) - 07 / 2025-26,Infrastructure Development of Devkund in Mayurbhanj District.,Technical,5 Nos. Bidders Received,Priyabrata Samantara,30-Jun-2025 12:28 PM,,Finance,Opening,Smita Sahoo,20-Aug-2025 06:28 PM,,BOQ Comparative Chart,"Er Satyabrata Behera EIC (Civil-cum-Roads), Odisha",Internal,Er P Samantara CE Buildings I Odisha Er A K Lenka Addl CE Buildings I Odisha Er S Sahoo SE Buildings Smt P Singh Financial Advisor,Managobinda Biswal,18-Aug-2025 05:44 PM,20-Aug-2025 04:00 PM,techsummary_542976.pdf (769.79 KB),1,2980719,ARUN KUMAR NAYAK,26-Jun-2025 02:37 PM,Rejected-Finance,L2,02-Feb-2026 01:38 PM,02-Feb-2026,"INR 96,369,708",455.0,Ashok Kumar Lenka,02-Feb-2026 01:41 PM,AOC_Devkund.pdf (3153.00 KB),AOC,AOC,"Chief Engineer (Buildings-I), Odisha, Bhubaneswar.","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.",1.0,Fee/PreQual/Technical,.pdf,"Paper Cost and EMD Online, PAN, GSTIN, Affidavit, Regd. Certificate and other Documents as per DTCN.",12-Jun-2025 06:00 PM,30-Jun-2025 11:30 AM,12-Jun-2025 06:00 PM,26-Jun-2025 05:00 PM,NA ,NA ,12-Jun-2025 06:00 PM,26-Jun-2025 05:00 PM,20-Aug-2025 04:00 PM,EIC-CIVIL,C.E. (B) - 07 / 2025-26,2025_EICCL_114431_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Infrastructure Development of Devkund in Mayurbhanj District.,Infrastructure Development of Devkund in Mayurbhanj District.,Please refer Tender documents. ,NA ,"11,33,62,790",Civil Works - Buildings,NA ,Tender,90.0,455.0,MAYURBHANJ DIST.,757101.0,NA ,NA ,NA ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,1.0,ICICI BANK,"11,34,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2971890,PURNA CHANDRA BARIK,25-Jun-2025 09:01 PM,Rejected-Technical,Disqualified,18-Aug-2025 05:44 PM,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2972275,SANJEEB KUMAR NAYAK,26-Jun-2025 12:34 PM,Accepted-AOC,L1,02-Feb-2026 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2980148,SAROJ KUMAR SAHU,25-Jun-2025 05:55 PM,Rejected-Finance,L2,02-Feb-2026 01:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2978557,SUMAN KUMAR SAHU,23-Jun-2025 06:46 PM,Rejected-Technical,Disqualified,18-Aug-2025 05:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
