Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
20-Feb-2026,"INR 3,571,617",60.0,Ashirbad Panda,20-Feb-2026 10:53 AM,111.pdf (193.00 KB),aoc,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-SAMBALPUR,2025_CERWI_119628_21,Tenderonline SBPR 04 OF 25-26,AMP OF PWD road to Salesingh road for the year 25-26,1.0,3149673.0,NABIN KUMAR MISHRA,INR,"3,571,617",1,3149673,NABIN KUMAR MISHRA,26-Oct-2025 10:52 PM,Accepted-AOC,aoc,20-Feb-2026 10:53 AM,Finance,all 2nos,Ashirbad Panda,30-Oct-2025 12:21 PM,finance_556902.pdf,BOQ Comparative Chart,SE,Internal,,Ashirbad Panda,20-Feb-2026 10:47 AM,finsummary_556902.pdf (193.30 KB),SE,Internal,,Ashirbad Panda,20-Feb-2026 10:46 AM,techsummary_556902.pdf (193.30 KB),AOC,"42,020",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"online proof copy of tender cost, EMD, GSTIN,PAN,RC, Affidavit etc.",AMP OF PWD road to Salesingh road for the year 25-26,AMP OF PWD road to Salesingh road for the year 25-26,Please refer Tender documents. ,NA ,"42,02,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Sambalpur,768001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SAMBALPUR",No ,No,SE RW Divn Sambaplpur,SE RW Divn Sambaplpur,18-Oct-2025 09:00 AM,28-Oct-2025 10:00 AM,18-Oct-2025 09:00 AM,27-Oct-2025 05:00 PM,18-Oct-2025 09:00 AM ,26-Oct-2025 02:00 PM ,18-Oct-2025 09:00 AM,27-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-SAMBALPUR,Tenderonline SBPR 04 OF 25-26,2025_CERWI_119628_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,3153744,TAPESWAR NAIK,26-Oct-2025 08:49 PM,Rejected-Technical,ok,20-Feb-2026 10:46 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
