EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"12,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Belpahar Municipal Council,EO/BPHM/05/25-26,2026_ORULB_124268_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,08-Jan-2026 10:00 AM,20-Jan-2026 11:00 AM,08-Jan-2026 10:00 AM,19-Jan-2026 05:00 PM,NA ,NA ,08-Jan-2026 10:00 AM,19-Jan-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,Constn of bathing step and pavor block work at Udjahajpadia bandh in W.N.-18,Constn of bathing step and pavor block work at Udjahajpadia bandh in W.N.-18,Please refer Tender documents. ,NA ,"12,00,000",Civil Works - Others,NA ,Tender,90.0,120.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,AOC,Nimai Charan Panda,Internal,,Nilakantha Kisan,25-Feb-2026 12:46 PM,finsummary_574825.pdf (258.63 KB),Nimai Charan Panda,Internal,,Nilakantha Kisan,25-Feb-2026 12:43 PM,techsummary_574825.pdf (258.63 KB),Municipal Bodies||Belpahar Municipal Council,2026_ORULB_124268_23,EO/BPHM/05/25-26,Constn of bathing step and pavor block work at Udjahajpadia bandh in W.N.-18,1.0,3359121.0,TANKADHAR KHAMARI,INR,"1,020,487",1,3360050,GOURANGA CHARAN SAHU,19-Jan-2026 04:22 PM,Rejected-AOC,Not win the lottery,25-Feb-2026 12:49 PM,25-Feb-2026,"INR 1,020,487",120.0,Nilakantha Kisan,25-Feb-2026 12:49 PM,23.pdf (235.00 KB),Finance,ok,Nilakantha Kisan,29-Jan-2026 12:51 PM,finance_574825.pdf,BOQ Comparative Chart,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3359335,Indrani Mohanta,19-Jan-2026 12:00 PM,Rejected-AOC,Not win the lottery,25-Feb-2026 12:49 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3358948,lalu kishan,18-Jan-2026 09:01 PM,Rejected-Finance,Rejectedm as L2 bidder,25-Feb-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3358655,LAXMIDHAR SAHOO,18-Jan-2026 07:13 PM,Rejected-AOC,Not win the lottery,25-Feb-2026 12:49 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3358885,SUBHRAJEET JENA,18-Jan-2026 07:22 PM,Rejected-AOC,Not win the lottery,25-Feb-2026 12:49 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3359121,TANKADHAR KHAMARI,19-Jan-2026 10:45 AM,Accepted-AOC,Tender finalised through transparent lottery system drawn among L1 bidders and winner of lottery,25-Feb-2026 12:49 PM,,,,,,,,,,,,,AOC
