Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bot the bids have been admitted,Bibhuti Tripathy,03-Sep-2025 03:41 PM,,BOQ Comparative Chart,19-Feb-2026,"INR 996,900",90.0,Bibhuti Tripathy,19-Feb-2026 12:32 PM,17.pdf (364.00 KB),Contract value includes GST.,Municipal Bodies||Paradeep Municipality,2025_ORULB_116829_17,EO/ PDPM/ W_03/ 2025-26,Construction of Community Hall at Indira Park-2 Balijhara in ward no 05,1.0,3049249.0,SURYAKANT BISWAL,INR,"996,900",1,3049271,PRASANT KUMAR BARIK,27-Aug-2025 10:26 AM,Rejected-Finance,L2,19-Feb-2026 12:29 PM,Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,19-Feb-2026 12:25 PM,techsummary_549193.pdf (364.33 KB),Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,19-Feb-2026 12:29 PM,finsummary_549193.pdf (364.33 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid documents,"8,440",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,"EO, PARADEEP MUNICIPALITY",PARADEEP MUNICIPALITY,16-Aug-2025 05:00 PM,29-Aug-2025 11:00 AM,16-Aug-2025 05:00 PM,27-Aug-2025 05:00 PM,16-Aug-2025 05:00 PM ,27-Aug-2025 05:00 PM ,16-Aug-2025 05:00 PM,27-Aug-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Paradeep Municipality,EO/ PDPM/ W_03/ 2025-26,2025_ORULB_116829_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Community Hall at Indira Park-2 Balijhara in ward no 05,Construction of Community Hall at Indira Park-2 Balijhara in ward no 05,Please refer Tender documents. ,NA ,"8,44,003",Civil Works - Others,NA ,Tender,120.0,90.0,PARADEEP MUNICIPALITY,754142.0,NA ,NA ,NA ,PARADEEP MUNICIPALITY,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3049249,SURYAKANT BISWAL,27-Aug-2025 10:45 AM,Accepted-AOC,Contract value includes GST.,19-Feb-2026 12:32 PM,,,,,,,,,,,,,AOC,,,.xls,BoQ,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
