S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3325558.0,ANNAPURNA SUPPLIERS,INR,"14,120,400",Technical,TECHNICAL BID (COVER-I) OPENED,Hemant Naik,06-Jan-2026 04:01 PM,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_122068_4,CCENC (R AND B) /12/ 2025-26,Construction of Tahasil Office Building at Bargarh Dist-Bargarh,CCE NC SBP,Internal,,Hemant Naik,27-Feb-2026 08:16 PM,finsummary_567415.pdf (1439.28 KB),CCE NC SBP,Internal,,SUCHISMITA SAHU,16-Jan-2026 02:05 PM,17-Jan-2026 04:00 PM,techsummary_567415.pdf (381.00 KB),Finance,FINANCIAL BID OPENED,SUCHISMITA SAHU,19-Jan-2026 10:57 AM,,BOQ Comparative Chart,27-Feb-2026,"INR 14,120,400",180.0,Hemant Naik,27-Feb-2026 08:19 PM,AGTTAHASIL.pdf (3215.00 KB),AGT DRAWN,1,3336029,Adarsh Sandeep Manjhi,01-Jan-2026 08:59 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,27-Feb-2026 08:16 PM,AOC,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",Construction of Tahasil Office Building at Bargarh Dist-Bargarh,BUILDING WORK,Please refer Tender documents. ,NA ,"1,66,10,282",Civil Works - Buildings,NA ,Tender,90.0,180.0,BARGARH,768028.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,1.0,ICICI BANK,"1,66,200",Yes,fixed,,Nil,Nil,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",18-Dec-2025 03:00 PM,03-Jan-2026 11:00 AM,18-Dec-2025 03:00 PM,02-Jan-2026 05:00 PM,18-Dec-2025 03:00 PM ,24-Dec-2025 05:00 PM ,18-Dec-2025 03:00 PM,02-Jan-2026 05:00 PM,17-Jan-2026 04:00 PM,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /12/ 2025-26,2025_EICCL_122068_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3336108,ANISHKA ENTERPRISES,31-Dec-2025 07:31 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,27-Feb-2026 08:16 PM,AOC,,,,,,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3325558,ANNAPURNA SUPPLIERS,01-Jan-2026 09:47 PM,Accepted-AOC,AGT DRAWN,27-Feb-2026 08:19 PM,AOC,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3342243,KAMAL LOCHAN NAIK,02-Jan-2026 12:17 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,27-Feb-2026 08:16 PM,AOC,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3341947,SUBRAT KUMAR PANDA,01-Jan-2026 07:43 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,27-Feb-2026 08:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
