Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
11-Feb-2026,"INR 216,128",90.0,AVINASH MOHANTY,16-Feb-2026 03:29 PM,29WORK49.pdf (598.00 KB),1.0,3267513.0,SURYA KANTA RATHA,INR,"216,128",Municipal Bodies||Daspalla NAC,2025_ORULB_121286_29,NAC-Daspalla/02/2025-26,"Restoration of Drain and RCC Cover at Vegiput ( Sai Mandir Road, Tanlasahi Mandirsahi) in Ward no. 11 of NAC Daspalla",1,3273767,CHITTA RANJAN MOHANTY,03-Dec-2025 03:35 PM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,Finance,ok,AVINASH MOHANTY,01-Feb-2026 12:10 PM,,BOQ Comparative Chart,"Chairperson,Daspalla NAC",Internal,,AVINASH MOHANTY,02-Feb-2026 12:08 PM,finsummary_564801.pdf (1689.74 KB),"Chairperson,Daspalla NAC",Internal,,AVINASH MOHANTY,02-Feb-2026 11:45 AM,techsummary_564801.pdf (1689.75 KB),AOC,21-Nov-2025 09:00 AM,05-Dec-2025 11:00 AM,21-Nov-2025 11:00 AM,03-Dec-2025 05:00 PM,NA ,NA ,21-Nov-2025 11:00 AM,03-Dec-2025 05:00 PM,"2,542",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,boq,1.0,ICICI BANK,"Restoration of Drain and RCC Cover at Vegiput ( Sai Mandir Road, Tanlasahi Mandirsahi) in Ward no. 11 of NAC Daspalla","Restoration of Drain and RCC Cover at Vegiput ( Sai Mandir Road, Tanlasahi Mandirsahi) in Ward no. 11 of NAC Daspalla",Please refer Tender documents. ,NA ,"2,54,238",Civil Works - Roads,NA ,Tender,180.0,90.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,EXECUTIVE OFFICER NAC DASPALLA,NAC OFFICE DASPALLA,Municipal Bodies||Daspalla NAC,NAC-Daspalla/02/2025-26,2025_ORULB_121286_29,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3273924,DUKHISHYAMA MOHANTY,03-Dec-2025 10:23 AM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,All tender Documents.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3274144,FIROZ KHAN,03-Dec-2025 01:25 PM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3269115,JANARDAN NAYAK,01-Dec-2025 11:54 AM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3273220,KABIR KAHANR,03-Dec-2025 12:21 AM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3273723,KALYANI BEHERA,03-Dec-2025 04:36 PM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3273848,MAKABULU KHAN,03-Dec-2025 02:03 PM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3273428,PRAKASH MOHAPATRA,03-Dec-2025 02:49 AM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3267944,SAKTI PRASAD BEHERA,03-Dec-2025 01:48 PM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3272997,SAROJ KUMAR SAHOO,03-Dec-2025 07:31 AM,Rejected-AOC,as per lottery,16-Feb-2026 03:29 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
