S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Notice,Other,,Renovation and Beautification of Model Crematorium,Renovation and Beautification of Model Crematorium,Please refer Tender documents. ,NA ,"8,47,929",Civil Works - Others,NA ,Tender,120.0,60.0,Bhuban NAC,759017.0,NA ,NA ,NA ,"Office of the Executive Officer, Bhuban NAC",No ,No,Municipal Bodies||Bhuban NAC,BBN NAC 4/2025-26,2025_ORULB_122289_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,01-Dec-2025 11:00 AM,16-Dec-2025 11:00 AM,01-Dec-2025 11:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,01-Dec-2025 11:00 AM,15-Dec-2025 05:00 PM,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,"8,479",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, Bhuban NAC","Executive Officer, Bhuban NAC",1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,AOC,Chairperson,Internal,"Tahasildar, Block Finance Officer, ME, JE, EO",SURENDRA NATH SAHOO,11-Feb-2026 04:07 PM,finsummary_568330.pdf (2603.45 KB),Municipal Bodies||Bhuban NAC,2025_ORULB_122289_8,BBN NAC 4/2025-26,Renovation and Beautification of Model Crematorium,1.0,3299656.0,PRAMOD GURU,INR,"847,929",Finance,OK,SURENDRA NATH SAHOO,05-Feb-2026 05:26 PM,finance_568330.pdf,BOQ Comparative Chart,1,3298977,ABINASH BEHERA,13-Dec-2025 12:17 AM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,11-Feb-2026,"INR 847,929",60.0,SURENDRA NATH SAHOO,11-Feb-2026 04:31 PM,334.pdf (1492.00 KB),Chairperson,Internal,"Tahasildar, Block Finance Officer, JE, ME, EO",SURENDRA NATH SAHOO,07-Feb-2026 12:20 PM,techsummary_568330.pdf (2603.45 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,2,3299287,AJAY KUMAR SAHOO,13-Dec-2025 04:09 PM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,3,3299006,Babuli Patra,14-Dec-2025 09:46 PM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3300060,Bishnu Charan Barik,13-Dec-2025 06:58 PM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3301002,CHINMAYEE SAHOO PROP OF SHIVANSH CONSTRUCTION,14-Dec-2025 09:57 PM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3296627,DEBENDRA SAHOO,12-Dec-2025 09:41 PM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3298953,GOURANGA CHARAN BEHERA,12-Dec-2025 11:47 PM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3300527,JITENDRA BEHERA,14-Dec-2025 05:54 PM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3298995,Kailash Nayak,14-Dec-2025 08:54 PM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3300580,Krushna Chandra Das,14-Dec-2025 12:43 AM,Rejected-Technical,Lottary,07-Feb-2026 12:20 PM,,,,,,,,,,,,,AOC
