S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Construction of BPHU building at CHC Paikmal of Paikmal block,Construction of BPHU building at CHC Paikmal of Paikmal block,Please refer Tender documents. ,NA ,"54,88,617",Civil Works - Buildings,NA ,Tender,90.0,270.0,Padampur,768036.0,NA ,NA ,NA ,"O/o the E.E RURAL WORKS DIVISION, PADMAPUR",No ,No,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,Online 09 of 2025-26,2025_CERWI_120066_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"EE R.W Division,Padampur","At.Po-Padampur, Dist.Bargarh",1.0,Fee/PreQual/Technical,.pdf,"Tender cost,EMD,Affidavit,RC,PAN card,GSTIN other docs as per DTCN",28-Oct-2025 10:00 AM,07-Nov-2025 11:00 AM,28-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,28-Oct-2025 10:00 AM ,04-Nov-2025 05:00 PM ,28-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,13-Nov-2025 11:00 AM,"54,890",Yes,fixed,,Nil,Nil,AOC,1,3189764,ABHISEK PANIGRAHI,06-Nov-2025 04:04 PM,Accepted-AOC,awarded,28-Feb-2026 04:36 PM,08-Dec-2025,"INR 4,665,873",270.0,Tapas Ranjan Lenka,28-Feb-2026 04:36 PM,aoc.pdf (19.00 KB),69/P1 of 2025-26,Finance,Eighteen financial bids have been opened.,Amar Chandra Kumar,13-Nov-2025 11:24 AM,,BOQ Comparative Chart,"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Ku. Naik JE Estr. I/c,Amar Chandra Kumar,12-Nov-2025 07:14 PM,13-Nov-2025 11:00 AM,techsummary_558269.pdf (374.20 KB),"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Kumar Naik JE Estr. I/c,Amar Chandra Kumar,05-Dec-2025 05:34 PM,finsummary_558269.pdf (192.78 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,2025_CERWI_120066_1,Online 09 of 2025-26,Construction of BPHU building at CHC Paikmal of Paikmal block,Technical,Eighteen bidders have participated,Amar Chandra Kumar,07-Nov-2025 11:55 AM,,1.0,3189764.0,ABHISEK PANIGRAHI,INR,"4,665,873",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,AOC,2,3181782,ANVI CONSTRUCTION,04-Nov-2025 10:56 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3182579,ARUN PRASAD SAHOO,04-Nov-2025 09:32 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3188422,CH SUBASH CHANDRA PATRO,06-Nov-2025 01:40 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3189296,DOLAMANI BIBHAR,06-Nov-2025 02:55 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3185001,HIMANSU SHEKHAR SWAIN,05-Nov-2025 05:12 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3189574,JANAKI BALLA HOTA,06-Nov-2025 03:37 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3181906,KRISHNA KUMAR AGRAWAL,04-Nov-2025 07:09 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3188711,KUNDAN PRADHAN,06-Nov-2025 01:21 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3184898,MANAS RANJAN MISHRA,05-Nov-2025 04:37 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
