S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3101679.0,DURYODHAN SAHOO,INR,"563,592.74",Finance,summary,Ashok Kumar Sethi,08-Feb-2026 11:14 AM,finance_554160.pdf,BOQ Comparative Chart,SE,Internal,,Ashok Kumar Sethi,08-Feb-2026 11:25 AM,finsummary_554160.pdf (136.89 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_118683_4,Bid Identification No.- 11/ MIDA / 2025-26,Repair And Improvement To Nischitapur Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,SE,Internal,,Ashok Kumar Sethi,08-Feb-2026 11:18 AM,techsummary_554160.pdf (136.89 KB),1,3110514,ALOK KUMAR SWAIN,05-Oct-2025 11:53 AM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,08-Feb-2026,"INR 563,592.74",90.0,Ashok Kumar Sethi,08-Feb-2026 11:29 AM,nischintapurimpcd.pdf (137.00 KB),AOC,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,"6,700",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN",26-Sep-2025 10:00 AM,13-Oct-2025 10:00 AM,26-Sep-2025 10:05 AM,10-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 10:10 AM,10-Oct-2025 05:00 PM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No.- 11/ MIDA / 2025-26,2025_CEMIB_118683_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",Repair And Improvement To Nischitapur Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,Repair And Improvement To Nischitapur Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,Please refer Tender documents. ,NA ,"6,63,000",Civil Works - Others,NA ,Rate Contract,90.0,90.0,GHATAGAON,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3110975,ARATI JENA,05-Oct-2025 03:14 PM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3109907,BIJAY KUMAR SAHOO,04-Oct-2025 05:47 PM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3101679,DURYODHAN SAHOO,27-Sep-2025 08:15 PM,Accepted-AOC,aoc,08-Feb-2026 11:29 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3112643,JAGANNATH SAHOO,06-Oct-2025 04:29 PM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3121396,JAY MAHADEV CONSTRUCTION,10-Oct-2025 01:45 PM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3118257,JITENDRA KUMAR BEHERA,08-Oct-2025 11:34 PM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3113934,JYOTISMITA SAHU,07-Oct-2025 08:24 PM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3120852,KUNDAN KUMAR SETHY,09-Oct-2025 07:46 PM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3107404,Mamata Mayee Mishra,03-Oct-2025 03:04 PM,Rejected-Finance,Lottery,08-Feb-2026 11:25 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
