Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. S R Parida SE,Internal,,Satya Ranjan Parida,19-Feb-2026 12:42 PM,techsummary_539397.pdf (322.19 KB),19-Feb-2026,"INR 1,657,259",90.0,Satya Ranjan Parida,19-Feb-2026 01:01 PM,2AOC1.pdf (946.00 KB),1,2932963,ARMAN ENGINEERING PROJECTS PRIVATE LIMITED,26-May-2025 01:12 PM,Accepted-AOC,After transparent lottery system ARMAN ENGINEERING PROJECTS PRIVATE LIMITED got successful 1st lowest tenderer.,19-Feb-2026 01:01 PM,Finance,The tender documents of two bidders as above under process.,Chiranjibi Sahu,28-May-2025 12:37 PM,,BOQ Comparative Chart,1.0,2932963.0,ARMAN ENGINEERING PROJECTS PRIVATE LIMITED,INR,"1,657,259",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,2025_EICCL_113406_1,S.E.-BNJ-RandB-02/2025-26,"Shifting and Re-erection Of 11KV Line ,LT Line and 63KVA S/S at Laxmanapalli Due to widening and Strengthing of Budhamba -Buguda Road(MDR-72) from 0/000KM to 26/000KM in the District Ganjam Under CRIF Scheme for the yaer 2022-23.",Er. S R Parida SE,Internal,,Satya Ranjan Parida,19-Feb-2026 12:47 PM,finsummary_539397.pdf (322.19 KB),AOC,1,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,S.E.-BNJ-RandB-02/2025-26,2025_EICCL_113406_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,500",Yes,fixed,,Nil,Nil,"Shifting and Re-erection Of 11KV Line ,LT Line and 63KVA S/S at Laxmanapalli Due to widening and Strengthing of Budhamba -Buguda Road(MDR-72) from 0/000KM to 26/000KM in the District Ganjam Under CRIF Scheme for the yaer 2022-23.",Electrical work.,Please refer Tender documents. ,NA ,"19,49,487",Electrical Works,NA ,Tender,90.0,90.0,At Laxmanapalli,761105.0,NA ,NA ,NA ,"O/o S.E, Bhanjanagar (RandB) Division, Bhanjanagar",No ,No,Superintending Engineer,"O/o S.E., Bhanjanagar (RandB) Division, Bhanjanagar",15-May-2025 12:00 PM,28-May-2025 11:00 AM,15-May-2025 12:00 PM,26-May-2025 05:00 PM,15-May-2025 12:00 PM ,26-May-2025 10:00 AM ,15-May-2025 12:00 PM,26-May-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy of Tender Cost, EMD, Contractor RC, GST, PAN, Affidavits, other document as DTCN","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,2,2931178,saraswati telesolutions,24-May-2025 07:20 PM,Rejected-AOC,Qualified,19-Feb-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,AOC
