Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
07-Aug-2025 06:00 PM,16-Aug-2025 11:00 AM,07-Aug-2025 06:00 PM,14-Aug-2025 05:00 PM,07-Aug-2025 06:00 PM ,13-Aug-2025 02:00 PM ,07-Aug-2025 06:00 PM,14-Aug-2025 05:00 PM,25-Oct-2025 11:00 AM,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 07/2025-26,2025_CERWI_116551_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","2,77,700",Yes,fixed,,Nil,Nil,2) Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-SBD-A1/2025-26,2) Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-SBD-A1/2025-26,N.A. ,NA ,"2,77,63,000",Civil Works - Roads,NA ,Tender,90.0,180.0,SUNABEDA,763001.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,"10,000",0.0,Nil,Nil,No,AOC,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division, Sunabeda Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,01-Jan-2026 12:50 PM,finsummary_548717.pdf (784.96 KB),CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_116551_3,CCERWCSBD Online - 07/2025-26,2) Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-SBD-A1/2025-26,Technical,BIDDERS NAME,Rinku Nahak,20-Oct-2025 01:35 PM,technical_548717.pdf,1.0,3035377.0,Ankit Kumar Agrawal,INR,"23,600,993.65",09-Feb-2026,"INR 23,600,993.65",180.0,Rinku Nahak,09-Feb-2026 04:44 PM,AOCSBDA1.pdf (142.00 KB),"Award of contract to Sri Ankit Kumar Agrawal, A Class Engineering Contractor through transparency lottery system",1,3035272,ALOK KUMAR BISOYI,13-Aug-2025 11:25 PM,Rejected-Finance,REJECT,01-Jan-2026 12:50 PM,Finance,cs,Rinku Nahak,01-Jan-2026 12:39 PM,finance_548717.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division, Sunabeda Estimator R.W. Circle Sunabeda",Rinku Nahak,20-Oct-2025 02:07 PM,25-Oct-2025 11:00 AM,techsummary_548717.pdf (2008.24 KB),AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3035377,Ankit Kumar Agrawal,14-Aug-2025 12:01 PM,Accepted-AOC,"Award of contract to Sri Ankit Kumar Agrawal, A Class Engineering Contractor through transparency lottery system",09-Feb-2026 04:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3032204,Banoj kumar patra,12-Aug-2025 06:44 PM,Rejected-Finance,REJECT,01-Jan-2026 12:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3036221,BATU PRAVEEN KUMAR,14-Aug-2025 04:25 PM,Rejected-Finance,REJECT,01-Jan-2026 12:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3035996,CHANDAN KUMAR BISOI,14-Aug-2025 02:18 PM,Rejected-Finance,REJECT,01-Jan-2026 12:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3035467,CHANDAN SINGH,14-Aug-2025 09:26 AM,Rejected-Finance,REJECT,01-Jan-2026 12:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3035894,CHETAN BISOI,14-Aug-2025 01:41 PM,Rejected-Finance,REJECT,01-Jan-2026 12:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3034194,DURMAN MUDULI (S.T),13-Aug-2025 10:21 PM,Rejected-AOC,REJECT,09-Feb-2026 04:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3035217,GOURA CHANDRA ACHARYA,14-Aug-2025 10:29 AM,Rejected-Finance,REJECT,01-Jan-2026 12:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3031971,JAY PRAKASH SHARMA,14-Aug-2025 04:48 PM,Rejected-Finance,REJECT,01-Jan-2026 12:50 PM,,,,,,,,,,,,,,AOC
