Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"10,000",0.0,Nil,Nil,No,03-Dec-2025 09:00 AM,22-Dec-2025 11:30 AM,03-Dec-2025 09:00 AM,19-Dec-2025 05:30 PM,NA ,NA ,03-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,15-Jan-2026 03:30 PM,CE-NH||NHCIRCLE-NORTH-BBSR,06 / CCE NH NORTHERN of 2025 26,2025_CENH_122405_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online Proof copy of T.Cost, Bid Security, GSTIN, PAN, RC, Affidavit and List of Machinery.",1.0,ICICI BANK,1.0,Last Date and Opening extended,Date,,Construction of RCC Drain at Brahmagiri of NH316,Construction of RCC Drain at Brahmagiri of NH316 in the State of Odisha for the year 2025 26.,Please refer Tender documents. ,NA ,"4,68,60,546",Civil Works - Highways,NA ,Tender,90.0,90.0,Brahmagiri,752011.0,NA ,NA ,NA ,O/o the CCE Northern NH Circle BBSR,No ,No,"4,68,600",Yes,fixed,,Nil,Nil,Chief Construction Engineer Northern NH C BBSR,"Office of the Chief Construction Engineer Northern NH Circle PO.Bhoinagar, Unit-9, PIN-751022 Bhubaneswar, Odisha.",AOC,"Ajit Kumar Ray, Chief Construction Engineer Northern NH C BBSR",External,PA to CCE Northern NH Circle BBSR Senior DAO of NH Division BBSR and SE NH Division Puri.,Ajit Kumar Ray,13-Jan-2026 02:10 PM,15-Jan-2026 03:30 PM,techsummary_568954.pdf (434.32 KB),1.0,3307630.0,RANJAN KUMAR SWAIN,INR,"39,836,150",CE-NH||NHCIRCLE-NORTH-BBSR,2025_CENH_122405_2,06 / CCE NH NORTHERN of 2025 26,Construction of RCC Drain at Brahmagiri of NH316,Finance,All the financial bids were opened and downloaded.,Rashmi Rekha Purtty,15-Jan-2026 06:03 PM,,BOQ Comparative Chart,Technical,All the bids were opened and downloaded.,Rashmi Rekha Purtty,22-Dec-2025 11:50 AM,,1,3306551,CHAKRADHAR PARIDA,16-Dec-2025 11:34 AM,Rejected-Finance,Through transparent lottery system,27-Feb-2026 11:08 AM,"Er. Ajit Kumar Ray, Chief Construction Engineer Northern NH C BBSR",External,"SE NH Division, Puri, PA to CCE Northern NH Circle Bhubaneswar and Senior DAO of NH Division Bhubaneswar",Ajit Kumar Ray,27-Feb-2026 11:08 AM,finsummary_568954.pdf (308.20 KB),01-Mar-2026,"INR 39,836,150",90.0,Ajit Kumar Ray,27-Feb-2026 11:15 AM,AOCBrahmagiriCCDrain.pdf (742.00 KB),"Work awarded to Sri Ranjan Kumar Swain, A Class Contractor.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relation Certificate, Legal Constitution and Undertaking.",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3308634,JAKNAP PROJECTS PRIVATE LIMITED,16-Dec-2025 05:10 PM,Rejected-Finance,Stand 4th lowest,27-Feb-2026 11:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Schedule A, B, C, D1, E, F, G and other Documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3308103,MAA JAY DURGA CONSTRUCTION,16-Dec-2025 03:41 PM,Rejected-Finance,Stand 2nd lowest,27-Feb-2026 11:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3307553,MANOJ KUMAR BHUYAN,16-Dec-2025 02:58 PM,Rejected-Finance,Through transparent lottery system,27-Feb-2026 11:08 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3307630,RANJAN KUMAR SWAIN,16-Dec-2025 03:55 PM,Accepted-AOC,Stands 1st lowest through transparent lottery system.,27-Feb-2026 11:15 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3317175,SANJEEB PUJARI,19-Dec-2025 03:29 PM,Rejected-Finance,Stand 3rd lowest,27-Feb-2026 11:08 AM,,,,,,,,,,,,,,AOC
