Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",1173/LID/KDP/2025-25,2025_OLIC_121665_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,"23,732",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,MANIKAPATANA_V RL,Papaer cost/RC/PAN/GST/Joint Venture/HT license/Esxperience with other documents as per DTCN,Please refer Tender documents. ,NA ,"23,73,297",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,NA ,KENDRAPARA,754211.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,paper cost/RC/GST/PAN/Joint Venture/HT licensee/Experience and other documents as per DTCN,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA","OFFICE OF THE EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA AT/PO-TINIMUHANI",21-Nov-2025 11:00 AM,29-Nov-2025 11:00 AM,21-Nov-2025 11:00 AM,28-Nov-2025 05:00 PM,21-Nov-2025 11:00 AM ,27-Nov-2025 05:00 PM ,21-Nov-2025 11:00 AM,28-Nov-2025 05:00 PM,AOC,21-Feb-2026,"INR 2,254,869",90.0,PRADEEP KUMAR SWAIN,21-Feb-2026 10:50 AM,MANIKAPATANA_V.pdf (135.00 KB),WORK AWARDED,1,3261726,AVIJIT MOHANTY,27-Nov-2025 09:35 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,EXECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,PRADEEP KUMAR SWAIN,21-Feb-2026 10:40 AM,techsummary_566125.pdf (95.31 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",2025_OLIC_121665_14,1173/LID/KDP/2025-25,MANIKAPATANA_V RL,EXECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,PRADEEP KUMAR SWAIN,21-Feb-2026 10:44 AM,finsummary_566125.pdf (95.31 KB),Finance,20NOS BIDDERS PARTICIPATED,PRADEEP KUMAR SWAIN,21-Feb-2026 10:26 AM,finance_566125.pdf,BOQ Comparative Chart,1.0,3251741.0,JHUNARANI DAS,INR,"2,254,869",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,2,3264284,G ASHISH KUMAR NAYAK,28-Nov-2025 04:05 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3250692,GOBINDA SETHI,28-Nov-2025 08:03 AM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3251741,JHUNARANI DAS,27-Nov-2025 02:06 PM,Accepted-AOC,L1 BIDDER,21-Feb-2026 10:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3245028,KAMALA KANTA BEHERA,27-Nov-2025 10:56 AM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3263956,M/S- AAO SAI AGRO SERVICE CENTER,28-Nov-2025 03:18 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3264215,M/S NIHAR RANJAN SAMAL,28-Nov-2025 03:51 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3244016,MS NIRUPAMA ELECTRICALS,27-Nov-2025 03:54 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3258512,NIHARIKA PATTANAIK,26-Nov-2025 08:29 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3250598,PRADEEP KUMAR DAS,27-Nov-2025 10:38 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
