Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Finance,6 bids opened successfully,Gayatri Behera,05-Aug-2025 11:59 AM,finance_547016.pdf,BOQ Comparative Chart,1.0,3023347.0,RSC ELECTRICAL AND CONSTRUCTION,INR,"2,777,783",Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_115880_9,BMC-EE-Tender Cell-27/2025-26 Dt. 22.07.2025,"Repairing and reconstruction of Compound Wall and providing Pathway of Crematorium at Abhiram Nagar, Kapilaprasad in Ward No. 67",City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,21-Feb-2026 11:44 AM,finsummary_547016.pdf (3189.61 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,21-Feb-2026 11:36 AM,techsummary_547016.pdf (1492.96 KB),21-Feb-2026,"INR 2,777,783",90.0,Lipsa Parida,21-Feb-2026 11:51 AM,Workorder_27_9.pdf (153.00 KB),1,3022279,AMIT KUMAR BEHERA,03-Aug-2025 03:04 PM,Rejected-Finance,Rejected,21-Feb-2026 11:44 AM,AOC,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-27/2025-26 Dt. 22.07.2025,2025_ORULB_115880_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Jul-2025 11:30 AM,05-Aug-2025 11:30 AM,24-Jul-2025 11:30 AM,04-Aug-2025 05:00 PM,24-Jul-2025 11:30 AM ,28-Jul-2025 05:30 PM ,24-Jul-2025 11:30 AM,04-Aug-2025 05:00 PM,"27,700",Yes,fixed,,Nil,Nil,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, ICOMC Tower, BMC","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"Repairing and reconstruction of Compound Wall and providing Pathway of Crematorium at Abhiram Nagar, Kapilaprasad in Ward No. 67","Repairing and reconstruction of Compound Wall and providing Pathway of Crematorium at Abhiram Nagar, Kapilaprasad in Ward No. 67",Please refer Tender documents. ,NA ,"27,69,149",Civil Works - Others,NA ,Tender,120.0,90.0,BMC AREA,751022.0,"Office chamber of the EE,Central Tender Cell ","Central Tender Cell, UG Floor, ICOMC Tower, BMC ",29-Jul-2025 12:30 PM ,"Central Tender Cell,BMC",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,scanned copies of all documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3023256,DEBASHISA NISHANK,04-Aug-2025 03:21 PM,Rejected-Finance,Rejected,21-Feb-2026 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3021704,MANOJ SINGH,02-Aug-2025 04:26 PM,Rejected-Finance,Rejected,21-Feb-2026 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3022085,NABIN KUMAR JENA,04-Aug-2025 03:52 PM,Rejected-Finance,Rejected,21-Feb-2026 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3023347,RSC ELECTRICAL AND CONSTRUCTION,04-Aug-2025 04:07 PM,Accepted-AOC,L1 bidder,21-Feb-2026 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3020247,SACHIDA NANDA SETHY,04-Aug-2025 01:42 PM,Rejected-Finance,Rejected,21-Feb-2026 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
