Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Finance,Sixteen no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,09-Dec-2025 12:12 PM,,BOQ Comparative Chart,Managing Director,Internal,,JAYALAXMI BISWAL,08-Dec-2025 03:58 PM,09-Dec-2025 11:30 AM,techsummary_556414.pdf (7100.57 KB),02-Feb-2026,"INR 13,162,331",180.0,JAYALAXMI BISWAL,02-Feb-2026 04:41 PM,AOC.pdf (704.00 KB),1,3185875,AJAYA KUMAR LENKA,05-Nov-2025 07:25 PM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,1.0,3154724.0,CHANDRABHANU BISWAL,INR,"13,162,331",Managing Director,Internal,,JAYALAXMI BISWAL,02-Feb-2026 04:37 PM,finsummary_556414.pdf (1396.65 KB),WATCO Bhubaneswar,2025_WATCO_119596_1,WATCO (W)-21(03)/2025-26 Dtd.13.10.2025,Improvement of Water Supply with laying of the pipe line in uncovered area under Karanjia NAC in Mayurbhanj District,Technical,Sixteen no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,10-Nov-2025 01:47 PM,,AOC,"1,55,000",Yes,fixed,,Nil,Nil,Improvement of Water Supply with laying of the pipe line in uncovered area under Karanjia NAC in Mayurbhanj District,Improvement of Water Supply with laying of the pipe line in uncovered area under Karanjia NAC in Mayurbhanj District,Please refer Tender documents. ,NA ,"1,54,83,000",Civil Works - Water Works,NA ,Tender,120.0,180.0,Karanjia NAC in Mayurbhanj,757037.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"11,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",WATCO Bhubaneswar,WATCO (W)-21(03)/2025-26 Dtd.13.10.2025,2025_WATCO_119596_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,22-Oct-2025 11:00 AM,10-Nov-2025 12:30 PM,22-Oct-2025 11:00 AM,06-Nov-2025 05:00 PM,22-Oct-2025 11:00 AM ,29-Oct-2025 05:00 PM ,22-Oct-2025 11:00 AM,06-Nov-2025 05:00 PM,09-Dec-2025 11:30 AM,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444",AOC
,,,,,,,,,,,,,,,,,,,2,3189315,AMRITA PRITAM,06-Nov-2025 04:45 PM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,3187804,ANUP KUMAR BEHERA,06-Nov-2025 11:34 AM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,3160674,Ashis Kumar Sahu,30-Oct-2025 04:38 PM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,3183564,BENUDHARA SETHI,06-Nov-2025 02:27 PM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,3160692,Biswajeet Sahoo,27-Oct-2025 06:13 PM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,3154724,CHANDRABHANU BISWAL,03-Nov-2025 05:51 PM,Accepted-AOC,Lowest bidder in Lottery,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,3175806,CHINTAMANI KUNDA,05-Nov-2025 12:11 AM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,3188771,DEMONSTRATIVE SOLAR INDIA PVT. LTD.,06-Nov-2025 01:34 PM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,3176214,DHRUBA CHARAN SAHOO,06-Nov-2025 04:11 PM,Rejected-AOC,Not a lowest bidder,02-Feb-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
