Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
SERWD Rairangpur,SERWD Rairangpur,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,tender documents as per DTCN,Special repair of sundhal to katupit for the year 2025-26 paver and R wall,Special repair of sundhal to katupit for the year 2025-26 paver and R wall,Please refer Tender documents. ,NA ,"25,42,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,07-Nov-2025 02:00 PM,13-Nov-2025 11:30 AM,07-Nov-2025 02:00 PM,12-Nov-2025 05:00 PM,07-Nov-2025 02:00 PM ,10-Nov-2025 05:00 PM ,07-Nov-2025 02:00 PM,12-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-08 of 25-26,2025_CERWI_119949_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"25,420",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,AOC,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,21-Feb-2026 02:59 PM,techsummary_562674.pdf (488.61 KB),Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,21-Feb-2026 04:09 PM,finsummary_562674.pdf (488.61 KB),Finance,open,Sanjeet Kumar Naik,21-Feb-2026 02:56 PM,finance_562674.pdf,BOQ Comparative Chart,21-Feb-2026,"INR 2,161,104",30.0,Sanjeet Kumar Naik,21-Feb-2026 04:11 PM,6790.pdf (489.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_119949_24,RWDRRP-08 of 25-26,Special repair of sundhal to katupit for the year 2025-26 paver and R wall,1.0,3215103.0,JAGANNATH HEMBRAM,INR,"2,161,104",1,3216946,BISHWAS RANJAN DAS,12-Nov-2025 01:10 PM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3217297,BRAJA KISHORE MOHANTA,12-Nov-2025 04:32 PM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3194229,DEBABRATA GOCHHAYAT,07-Nov-2025 03:59 PM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3206530,HEMANTA KUMAR BEHERA,11-Nov-2025 02:09 PM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3215103,JAGANNATH HEMBRAM,11-Nov-2025 08:46 PM,Accepted-AOC,Lottery winner,21-Feb-2026 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3193842,joyram beshra,07-Nov-2025 03:19 PM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3216403,PRIYADARSHINI YADAV,12-Nov-2025 11:46 AM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3216256,SHREE BALAJI ENTERPRISES,12-Nov-2025 11:13 AM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3216671,SWARUP CHANDRA BEHERA,12-Nov-2025 01:25 PM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3216153,TULASHI RAJAK,12-Nov-2025 10:50 AM,Rejected-AOC,Lottery,21-Feb-2026 04:11 PM,AOC
