S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3170497.0,Srinivas Mohapatra,INR,"22,576,520",Technical,Documents to be verified,Swagatika Rauto,13-Nov-2025 04:27 PM,technical_559060.pdf,CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_120197_4,Online Tender/35-2025-26/BPR,Construction of H.L.Bridge over Local Nallah on Budabali Chhaka to Taperkia road in the District of Kandhamal under Setu Bandhana Yojana (SBY) for the year 2024-25 (Span 2 x 10.77m),"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Swagatika Rauto,02-Jan-2026 12:59 PM,finsummary_559060.pdf (1689.94 KB),"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Swagatika Rauto,06-Dec-2025 07:53 PM,11-Dec-2025 11:00 AM,techsummary_559060.pdf (1522.38 KB),Finance,Documents to be verified,Swagatika Rauto,11-Dec-2025 07:14 PM,finance_559060.pdf,BOQ Comparative Chart,04-Feb-2026,"INR 22,576,520",365.0,Lopamudra Dalai,20-Feb-2026 12:56 PM,Budabali.pdf (923.00 KB),1,3187690,Ajit Kumar Dora,06-Nov-2025 11:22 AM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/35-2025-26/BPR,2025_CERWI_120197_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of H.L.Bridge over Local Nallah on Budabali Chhaka to Taperkia road in the District of Kandhamal under Setu Bandhana Yojana (SBY) for the year 2024-25 (Span 2 x 10.77m),Construction of H.L.Bridge over Local Nallah on Budabali Chhaka to Taperkia road in the District of Kandhamal under Setu Bandhana Yojana (SBY) for the year 2024-25 (Span 2 x 10.77m),Please refer Tender documents. ,NA ,"2,65,58,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Balliguda,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM,",No ,No,28-Oct-2025 12:00 PM,07-Nov-2025 11:00 AM,28-Oct-2025 12:00 PM,06-Nov-2025 05:30 PM,28-Oct-2025 12:00 PM ,04-Nov-2025 05:30 PM ,28-Oct-2025 12:00 PM,06-Nov-2025 05:30 PM,11-Dec-2025 11:00 AM,"Chief Construction Engineer, R.W.Circle, BAM,","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11","2,65,600",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3185663,AJIT MALLICK,05-Nov-2025 06:52 PM,Rejected-Technical,DISQUALIFIED,06-Dec-2025 07:53 PM,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3187739,ALLAPA AKHIL KUMAR,06-Nov-2025 11:32 AM,Rejected-Technical,DISQUALIFIED,06-Dec-2025 07:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3189793,AMAN KUMAR AGRAWAL,06-Nov-2025 04:05 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3171937,Ashis Kumar Padhy,06-Nov-2025 01:58 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3189769,CHIDANANDA PANDA,06-Nov-2025 04:07 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3182934,Ganesh Sahu,05-Nov-2025 07:42 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3186578,JOGESWAR SAHU,05-Nov-2025 10:04 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3182942,Kartikeswar Sahu,05-Nov-2025 07:50 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3184464,Kunja Bihari Sahu,05-Nov-2025 07:11 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3179004,MONALISHA PADHY,06-Nov-2025 03:27 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3189616,M/s SHREE INFRA AND CO,06-Nov-2025 03:39 PM,Rejected-AOC,1st Lowest,20-Feb-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3189169,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,06-Nov-2025 02:36 PM,Rejected-Technical,DISQUALIFIED,06-Dec-2025 07:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
