Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"4,000",0.0,Nil,Nil,No,Construction of Drain with cover slab from Sukadeba Nayak House to Nadighata in Ward-03,Construction of Drain with cover slab from Sukadeba Nayak House to Nadighata in Ward-03,Please refer Tender documents. ,NA ,"8,73,316",Civil Works - Others,NA ,Tender,180.0,60.0,ANANDAPUR MUNICIPALITY,758021.0,NA ,NA ,NA ,ANANDAPUR MUNICIPALITY,No ,No,"8,733",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Anandapur Municipal Council,AM-ANDP-03/2025-26,2025_ORULB_119926_92,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER,ANANDAPUR MUNICIPALITY,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,boq,30-Oct-2025 12:00 PM,15-Nov-2025 11:00 AM,30-Oct-2025 12:00 PM,13-Nov-2025 05:00 PM,NA ,NA ,30-Oct-2025 12:00 PM,13-Nov-2025 05:00 PM,AOC,cp,Internal,,Debaprasad Bal,05-Feb-2026 07:32 PM,techsummary_558987.pdf (168.07 KB),cp,Internal,,Chittaranjan Sethy,17-Feb-2026 05:05 PM,finsummary_558987.pdf (55.85 KB),Finance,k,Debaprasad Bal,18-Nov-2025 11:11 AM,finance_558987.pdf,BOQ Comparative Chart,17-Feb-2026,"INR 876,039",60.0,Chittaranjan Sethy,17-Feb-2026 05:07 PM,commite.pdf (56.00 KB),1,3210277,ASHIS PATTANAYAK,10-Nov-2025 11:57 PM,Accepted-AOC,k,17-Feb-2026 05:07 PM,Municipal Bodies||Anandapur Municipal Council,2025_ORULB_119926_92,AM-ANDP-03/2025-26,Construction of Drain with cover slab from Sukadeba Nayak House to Nadighata in Ward-03,1.0,3210277.0,ASHIS PATTANAYAK,INR,"876,039",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,refer dtcn,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3203968,CHAMPABATI TARAI,11-Nov-2025 08:31 PM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3218067,HIMANSU SEKHAR DAS,12-Nov-2025 04:18 PM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3185093,KAMALAKANTA BEHERA,05-Nov-2025 05:10 PM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3219383,MADHU SUDAN SAHOO,12-Nov-2025 09:35 PM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3219311,NILAMANI SAHOO,12-Nov-2025 09:09 PM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3215657,PRAKASH GHADEI,12-Nov-2025 01:09 AM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3203831,PRASANNA KUMAR MISHRA,09-Nov-2025 09:08 PM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3219749,PRIYABRATA SAHOO,13-Nov-2025 01:19 AM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3221056,Rabindra Kumar Patra,13-Nov-2025 02:06 PM,Rejected-Finance,k,17-Feb-2026 05:05 PM,,,,,,,,,,AOC
