S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of tender paper, EMD, APS, PAN, GSTIN, Registration Certificate and other documents as per DTCN",Repair to RD road to Alandapatana in the District of Puri for the year 2025-26.,Repair to RD road to Alandapatana in the District of Puri for the year 2025-26.,Please refer DTCN. ,NA ,"10,92,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Puri,752001.0,NA ,NA ,NA ,"O/o Superintending Engineer,R.W Division,Puri",No ,No,"Superintending Engineer,Rural Works Division,Puri","O/o Superintending Engineer,R.W Division,Puri",14-Nov-2025 04:00 PM,26-Nov-2025 11:30 AM,14-Nov-2025 04:00 PM,25-Nov-2025 05:00 PM,14-Nov-2025 04:00 PM ,24-Nov-2025 01:30 PM ,14-Nov-2025 04:00 PM,25-Nov-2025 05:00 PM,"10,920",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,Online-09 Dt. 10.10.2025,2025_CERWI_121194_39,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC,"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Smt Ipsita Patra,Sri Raj Kishore Pal",Jyoti Prakash Samal,17-Feb-2026 12:41 PM,techsummary_564054.pdf (892.56 KB),"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Smt Ipsita Patra,Sri Raj Kishore Pal",Jyoti Prakash Samal,17-Feb-2026 12:46 PM,finsummary_564054.pdf (892.56 KB),1.0,Revocation of tender,Wrongly generated,23-Dec-2025 04:35 PM,10114.pdf ,182.57,Technical Opening,Finance,16 nos bidder are admitted for finalisation.,Rina Kumari Sasmal,23-Dec-2025 05:46 PM,,BOQ Comparative Chart,1,3246033,ARJUN CHANDRA BISWAL,22-Nov-2025 12:24 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",17-Feb-2026 12:46 PM,1.0,3237736.0,PRAVAT KUMAR NAYAK,INR,"1,092,286",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,2025_CERWI_121194_39,Online-09 Dt. 10.10.2025,Repair to RD road to Alandapatana in the District of Puri for the year 2025-26.,17-Feb-2026,"INR 1,092,286",60.0,Jyoti Prakash Samal,17-Feb-2026 12:49 PM,Alandapatna.pdf (893.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,3251598,MANISHA SAHOO,24-Nov-2025 04:54 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-No relation Certificate addressed in the name of Water resource Deptt. & in affidavit No relation point meaning is not correct.,23-Dec-2025 05:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,3251479,NARESH CHANDRA SAHOO,24-Nov-2025 04:38 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-No relation Certificate addressed in the name of Water resource Deptt. & in affidavit No relation point meaning is not correct.,23-Dec-2025 05:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,3246243,NASIR KHAN,22-Nov-2025 01:17 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",17-Feb-2026 12:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,3237736,PRAVAT KUMAR NAYAK,19-Nov-2025 12:48 PM,Accepted-AOC,"He is the 1st successful lottery winner, so his rate is accepted and awarded.",17-Feb-2026 12:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,3243459,PURNA CHANDRA BISWAL,21-Nov-2025 10:57 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",17-Feb-2026 12:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,3249811,RANJAN KUMAR PRADHAN,24-Nov-2025 11:05 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",17-Feb-2026 12:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,3253888,RASMI RANJAN PALAI,25-Nov-2025 12:55 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",17-Feb-2026 12:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,3248709,RINARANI BISWAL,23-Nov-2025 09:03 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-cancelled GSTIN in online GST portal.,23-Dec-2025 05:46 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,3247157,RINKI DANDASENA,22-Nov-2025 08:37 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",17-Feb-2026 12:46 PM,,,,,,,,,,,,,,,,AOC
