S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3213624.0,PRAKASH KUMAR SAHOO,INR,"6,774,959.16",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_120249_4,e-Procurement Notice No.03/ 2025-26,JJPR-4/25-26 Protection to scoured bank on Budha right near Bramhan Sahi to Harizon Sahi for 2025-26,Technical,Tender documents of all the participated bidders have been downloaded successfully,Ratnakar Dalai,12-Nov-2025 05:39 PM,,SE Jajpur Irrigation Division,Internal,Estimator and DAO Jajpur Irrigation Division,Ratnakar Dalai,13-Dec-2025 04:35 PM,finsummary_559410.pdf (267.41 KB),"SE, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Ratnakar Dalai,24-Nov-2025 06:09 PM,25-Nov-2025 10:00 AM,techsummary_559410.pdf (1577.59 KB),Finance,Financial bid documents of the eligible bidders have been downloaded successfully.,Ratnakar Dalai,25-Nov-2025 01:12 PM,,BOQ Comparative Chart,1,3168392,ABHILASH MOHANTY,30-Oct-2025 05:40 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,26-Feb-2026,"INR 6,774,959.16",180.0,Ratnakar Dalai,26-Feb-2026 01:59 PM,JJPR_04.pdf (291.00 KB),Contract Awarded,AOC,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption","10,000",Nil,Nil,No,29-Oct-2025 10:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,04-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,25-Nov-2025 10:00 AM,1.0,ICICI BANK,Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur","79,700",Yes,fixed,,Nil,Nil,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.03/ 2025-26,2025_CDJID_120249_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,JJPR-4/25-26 Protection to scoured bank on Budha right near Bramhan Sahi to Harizon Sahi for 2025-26,Embankment protection,Please refer Tender documents. ,NA ,"79,69,603",Civil Works - Others,NA ,Tender,90.0,180.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3192852,ABINASH BEURIA,07-Nov-2025 12:39 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3200283,AMAR KUMAR PATRA,10-Nov-2025 12:55 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3198805,ASHIS KUMAR ROUT,08-Nov-2025 09:12 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3196779,ASWINI KUMAR PARAMANIK,08-Nov-2025 12:25 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3192809,BHAKTAHARI SAHOO,07-Nov-2025 12:34 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3195990,BHARAT KUMAR SAHOO,09-Nov-2025 06:18 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3190965,BIBHUTI BHUSAN NATH,07-Nov-2025 05:41 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3196727,BIJAY KUMAR PANDA,08-Nov-2025 07:37 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3206197,BIKRAM SUNDAR SIKANDAR KUMAR NAYAK,10-Nov-2025 01:15 PM,Rejected-Finance,Did not win the lottery,13-Dec-2025 04:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
