Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,2025_CERWI_121194_19,Online-09 Dt. 10.10.2025,Repair to MB road to Chhaitana (Dandasahi road) in the District of Puri for the year 2025-26,1.0,3254293.0,RAMA CHANDRA NAYAK,INR,"1,785,163",1,3245909,BIBEKANANDA PRADHAN,24-Nov-2025 12:23 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,12-Feb-2026,"INR 1,785,163",60.0,Jyoti Prakash Samal,12-Feb-2026 05:07 PM,ChhaitanaDandasahi.pdf (929.00 KB),Finance,All bidders are admitted for Finalisation.,Rina Kumari Sasmal,15-Dec-2025 01:43 PM,,BOQ Comparative Chart,"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Smt Ipsita Patra,Sri Raj Kishore Pal",Jyoti Prakash Samal,12-Feb-2026 05:05 PM,finsummary_563933.pdf (928.61 KB),"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Smt Ipsita Patra,Sri Raj Kishore Pal",Jyoti Prakash Samal,12-Feb-2026 04:58 PM,techsummary_563933.pdf (928.61 KB),AOC,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,Online-09 Dt. 10.10.2025,2025_CERWI_121194_19,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of tender paper, EMD, APS, PAN, GSTIN, Registration Certificate and other documents as per DTCN","21,000",Yes,fixed,,Nil,Nil,Repair to MB road to Chhaitana (Dandasahi road) in the District of Puri for the year 2025-26,Repair to MB road to Chhaitana (Dandasahi road) in the District of Puri for the year 2025-26,Please refer DTCN. ,NA ,"21,00,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Puri,752001.0,NA ,NA ,NA ,"O/o Superintending Engineer,R.W Division,Puri",No ,No,14-Nov-2025 04:00 PM,26-Nov-2025 11:30 AM,14-Nov-2025 04:00 PM,25-Nov-2025 05:00 PM,14-Nov-2025 04:00 PM ,24-Nov-2025 01:30 PM ,14-Nov-2025 04:00 PM,25-Nov-2025 05:00 PM,"Superintending Engineer,Rural Works Division,Puri","O/o Superintending Engineer,R.W Division,Puri",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,3254633,BISWA RANJAN SWAIN,25-Nov-2025 03:55 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,3,3247152,DEVRAJ MISHRA,23-Nov-2025 11:00 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3253987,GOPINATH TRADERS,25-Nov-2025 01:05 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3251200,JHADESWARI INFRA AND DEVELOPERS PRIVATE LIMITED,24-Nov-2025 05:52 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3244909,PRADHAN CONSTRUCTION,21-Nov-2025 05:18 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3254293,RAMA CHANDRA NAYAK,25-Nov-2025 02:18 PM,Accepted-AOC,"He is the 1st successful lottery winner, so his rate is accepted and awarded.",12-Feb-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3253708,SANYASI KUMAR GHADEI,25-Nov-2025 12:37 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3238108,Shankar Pujari,23-Nov-2025 12:08 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3241050,SUSHIL MUDULI,25-Nov-2025 08:53 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",12-Feb-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
