S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"Construction of DRINKING WATER KIOSK at CDA Market Complex near Bharat Petrol Pump, Ward No 15 Zone24 under WATCO Section Annapurna, Cuttack","Construction of DRINKING WATER KIOSK at CDA Market Complex near Bharat Petrol Pump, Ward No 15 Zone24 under WATCO Section Annapurna, Cuttack",Please refer Tender documents. ,NA ,"7,33,868",Civil Works - Water Works,NA ,Tender,120.0,90.0,Cuttack,753003.0,NA ,NA ,NA ,"O/o-General Manager, WATCO Division, Cuttack",No ,No,15-Dec-2025 05:35 PM,29-Dec-2025 12:30 PM,15-Dec-2025 05:35 PM,26-Dec-2025 05:00 PM,15-Dec-2025 05:35 PM ,22-Dec-2025 05:00 PM ,15-Dec-2025 05:35 PM,26-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of PAN, GSTIN,Affidavits,Certificates,Formats,Schedules and other documents if any as per DTCN","General Manager, WATCO Division, Cuttack","O/o-General Manager, WATCO Division, Cuttack","7,339",Yes,percentage,1.0%,Nil,Nil,"4,720",Nil,Nil,No,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Cuttack,GMWATCO (W)-13(1)/2025-26 Dtd.09.12.2025,2025_WCUTT_123241_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,16-Feb-2026,"INR 623,861",90.0,Biswaranjan Rath,16-Feb-2026 06:05 PM,aoc13012526.pdf (456.00 KB),L1 Single Bidder,1.0,3326315.0,SHISHIR KUMAR SWAIN,24-Dec-2025 06:31 PM,Accepted-AOC,L1 Single Bidder,16-Feb-2026 06:06 PM,Baishnu Bhusan Behera,Internal,,Biswaranjan Rath,16-Feb-2026 05:05 PM,techsummary_571763.pdf (438.13 KB),Baishnu Bhusan Behera,Internal,,Biswaranjan Rath,16-Feb-2026 06:00 PM,finsummary_571763.pdf (438.13 KB),WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Cuttack,2025_WCUTT_123241_1,GMWATCO (W)-13(1)/2025-26 Dtd.09.12.2025,"Construction of DRINKING WATER KIOSK at CDA Market Complex near Bharat Petrol Pump, Ward No 15 Zone24 under WATCO Section Annapurna, Cuttack",1.0,3326315.0,SHISHIR KUMAR SWAIN,INR,"623,861",Finance,Single bidder found to be responsive,Biswaranjan Rath,29-Dec-2025 01:32 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
