Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
18-Feb-2026,"INR 2,161,246",60.0,Soubhagya Kumar Das,18-Feb-2026 12:47 PM,Tcn11SL10.pdf (660.00 KB),1.0,3357292.0,SUMAN KALYAN SENAPATI,INR,"2,161,246",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2026_CERWI_124439_10,11SERW BLS 2025-26,Nilgiri to Baulagadia Road,1,3359852,BASANTA KUMAR PATRA,19-Jan-2026 03:21 PM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,Finance,Document downloaded,Soubhagya Kumar Das,20-Jan-2026 04:07 PM,finance_575202.pdf,BOQ Comparative Chart,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,18-Feb-2026 12:40 PM,finsummary_575202.pdf (660.18 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,18-Feb-2026 12:30 PM,techsummary_575202.pdf (660.18 KB),AOC,Nilgiri to Baulagadia Road,Nilgiri to Baulagadia Road,Please refer tender documents ,NA ,"25,42,343",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,"25,423",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"P. cost, EMD, RC, PAN, valid GSTIN, Affidavit, No relation certificate and other as per DTCN","SE RW Division, Balasore","O/o the SE RURAL WORKS DIVISION, BALASORE",12-Jan-2026 11:00 AM,20-Jan-2026 11:00 AM,12-Jan-2026 11:00 AM,19-Jan-2026 05:00 PM,12-Jan-2026 11:00 AM ,19-Jan-2026 01:00 PM ,12-Jan-2026 11:00 AM,19-Jan-2026 05:00 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,11SERW BLS 2025-26,2026_CERWI_124439_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3353140,BHARAT MAJHI,19-Jan-2026 12:35 PM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3357758,BHIKARI DALAEI,17-Jan-2026 10:55 AM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3357677,CHANDAN KUMAR DHAL,17-Jan-2026 05:08 PM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3358503,HRUDANANDA BEHERA,18-Jan-2026 09:03 PM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3360106,JATIN DAS,19-Jan-2026 04:43 PM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3358388,KAMALA PARIDA,19-Jan-2026 02:12 PM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3358820,MAA JAGADHATRI LCCS LTD,18-Jan-2026 08:30 PM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3355317,MAA TARINI FABRICATION,16-Jan-2026 03:04 PM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3352898,MADHURI BHOL,16-Jan-2026 08:39 AM,Rejected-AOC,Not Qualified,18-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
