Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Installation of Bansajal and Barbank (Talamal) L.I. Project under Rairakhol block in Sambalpur District,Installation of Bansajal and Barbank (Talamal) L.I. Project under Rairakhol block in Sambalpur District,Please refer Tender documents. ,NA ,"1,03,75,034",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Rairakhol,768106.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,1.0,ICICI BANK,"1,03,750",Yes,percentage,1.0%,Nil,Nil,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi","11,800",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_60,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents",AOC,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,13-Feb-2026 11:42 AM,finsummary_566039.pdf (496.40 KB),Technical,Tender Open,CHITARANJAN PRADHAN,02-Dec-2025 01:03 PM,technical_566039.pdf,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_60,EEOLICSBP-03/2025-26,Installation of Bansajal and Barbank (Talamal) L.I. Project under Rairakhol block in Sambalpur District,1.0,3267680.0,KESHAB CHANDRA SAHU,INR,"8,819,816.19",13-Feb-2026,"INR 8,819,816.19",120.0,CHITARANJAN PRADHAN,13-Feb-2026 04:00 PM,60.pdf (905.00 KB),Agreement Done,1,3267050,DEBADATTA KHAMARI,01-Dec-2025 12:59 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 04:00 PM,Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 05:01 PM,finance_566039.pdf,BOQ Comparative Chart,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 06:34 PM,22-Dec-2025 10:00 AM,techsummary_566039.pdf (397.67 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3268691,JAYAJIT KUMAR SAHOO,01-Dec-2025 01:00 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3267680,KESHAB CHANDRA SAHU,01-Dec-2025 01:27 PM,Accepted-AOC,Award of Contract,13-Feb-2026 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3268495,MAHIMA CONSTRUCTION PROPRIETOR SRI SRIKANTA DEHURY,30-Nov-2025 09:54 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3267265,MOHAMMAD ANISH,30-Nov-2025 10:49 PM,Rejected-Technical,He has JV registration out of stipulated period,21-Dec-2025 06:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3266651,M/S DILIP KUMAR SAHOO,01-Dec-2025 12:29 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3268398,MS Shree Shyam and Co,01-Dec-2025 01:19 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3268468,"OJAS CIVCON, PROPRIETOR-BIJAN MOHANTY",01-Dec-2025 09:42 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 06:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3261065,PRADEEP KUMAR AGRAWALLA,01-Dec-2025 12:58 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3263453,PRAKASH KUMAR SWAIN,30-Nov-2025 10:49 AM,Rejected-AOC,Not Award of Contract,13-Feb-2026 04:00 PM,,,,,,,,,,,,,,AOC
