Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_120893_17,18/OPHWC/2025-26,"Const. of Atal Bus Stand (C Type) at Beherapati Under Narla Block, Kalahandi",1.0,3236123.0,JOGENDRA KUMAR MOHANTY,INR,"65,579,905",1,3264477,AVR INFRATECH PVT LTD,29-Nov-2025 01:53 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,06-Jan-2026 05:53 PM,13-Feb-2026,"INR 65,579,905",455.0,Bikram Keshari Malla,13-Feb-2026 03:12 PM,BEHERAPATI.pdf (83.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 06.02.2026,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,06-Jan-2026 05:53 PM,07-Jan-2026 10:30 AM,techsummary_562683.pdf (208.02 KB),Finance,Financial bid opened,MONALISHA PADHY,07-Jan-2026 10:50 AM,,BOQ Comparative Chart,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,13-Feb-2026 03:08 PM,finsummary_562683.pdf (364.87 KB),Technical,10 Nos. of bidders have been participated,MONALISHA PADHY,02-Dec-2025 12:34 PM,,AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,SITE PHOTOGRAPH WITH GPS CO-ORDINATES,Technical Bid,,"7,39,300",Yes,fixed,,Nil,Nil,"Const. of Atal Bus Stand (C Type) at Beherapati Under Narla Block, Kalahandi",Building Work,Please refer Tender documents. ,NA ,"7,39,34,504",Civil Works - Buildings,NA ,Tender,90.0,365.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,07-Nov-2025 06:55 PM,01-Dec-2025 10:30 AM,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,NA ,NA ,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,07-Jan-2026 10:30 AM,1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2025-26,2025_OSPHW_120893_17,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,3259319,BKM CONSTRUCTION PVT.LTD,28-Nov-2025 06:28 PM,Rejected-Finance,DUE TO L4 BIDDER,13-Feb-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3264724,JAI BAJRANGBALI INFRA,28-Nov-2025 05:38 PM,Rejected-Finance,DUE TO L3 BIDDER,13-Feb-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3236123,JOGENDRA KUMAR MOHANTY,28-Nov-2025 12:53 PM,Accepted-AOC,QUALIFIED BIDDER,13-Feb-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3243735,MS JAYARAM PRADHAN,29-Nov-2025 10:47 AM,Rejected-Finance,DUE TO L6 BIDDER,13-Feb-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3262368,Paban Kumar Agrawal,29-Nov-2025 01:40 PM,Rejected-Finance,DUE TO L5 BIDDER,13-Feb-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3265689,R K BUILDER,29-Nov-2025 03:30 PM,Rejected-Finance,DUE TO L2 BIDDER,13-Feb-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3262954,Sarada Prasad Swain,28-Nov-2025 12:21 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,06-Jan-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3265806,SUJIT KUMAR JENA,29-Nov-2025 11:40 AM,Rejected-Finance,DUE TO L3 BIDDER,13-Feb-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3266903,SUMANTA KUMAR SAHOO,29-Nov-2025 04:34 PM,Rejected-Technical,Non submission of adequate valid documents to secure qualifying marks in Sch. C as per DTCN Cl. 13 and 110 (f).,06-Jan-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
