S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD, RC, PAN, GSTIN, Affidavit, No Relation and required documents as per DTCN","89,800",Yes,fixed,,Nil,Nil,"S.E. M.I. Division, Mayurbhanj","O/O S.E. M.I.Division, Mayurbhanj","10,000",0.0,Nil,Nil,No,24-Dec-2025 12:00 PM,03-Jan-2026 11:00 AM,24-Dec-2025 12:00 PM,02-Jan-2026 05:00 PM,NA ,NA ,24-Dec-2025 12:00 PM,02-Jan-2026 05:00 PM,19-Jan-2026 11:00 AM,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Mayurbhanj","S.E.M.I.D. MBJ.No.- 22-MID, MBJ-2025-26",2025_CEMIB_123768_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Badkhirpada Check Dam near village Badkhirpada of Baisinga GP in Betnoti Block of Mayurbhanj District under MATY-3 Scheme for the year 2025-26,Construction of Badkhirpada Check Dam near village Badkhirpada of Baisinga GP in Betnoti Block of Mayurbhanj District under MATY-3 Scheme for the year 2025-26,Please refer Tender documents. ,NA ,"89,79,477",Civil Works - Others,NA ,Tender,90.0,180.0,"Betnoti, Mayurbhanj",757025.0,NA ,NA ,NA ,"O/O S.E. M.I.Division, Mayurbhanj",No ,No,AOC,Manaranjan Hansda,Internal,,Manaranjan Hansdah,20-Jan-2026 02:11 PM,finsummary_573217.pdf (675.02 KB),Technical,fifteen Nos. Bidder are participated in technical bid opening,Manaranjan Hansdah,18-Jan-2026 06:56 PM,technical_573217.pdf,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Mayurbhanj",2025_CEMIB_123768_6,"S.E.M.I.D. MBJ.No.- 22-MID, MBJ-2025-26",Construction of Badkhirpada Check Dam near village Badkhirpada of Baisinga GP in Betnoti Block of Mayurbhanj District under MATY-3 Scheme for the year 2025-26,1.0,3342390.0,Pradeep Kumar Brahma,INR,"7,633,453",1,3342568,AMARENDRA KUMAR BASHA,02-Jan-2026 03:24 PM,Rejected-AOC,Unsuccessful Bidder,25-Feb-2026 01:09 PM,02-Feb-2026,"INR 7,633,453",180.0,Manaranjan Hansdah,25-Feb-2026 01:09 PM,Badkhirpada.pdf (574.00 KB),Finance,Fourteen Nos. Bidder are participated in Financial bid opening,Manaranjan Hansdah,20-Jan-2026 01:09 PM,finance_573217.pdf,BOQ Comparative Chart,Manaranjan Hansda,Internal,,Manaranjan Hansdah,18-Jan-2026 07:02 PM,19-Jan-2026 11:00 AM,techsummary_573217.pdf (678.59 KB),AOC
2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3342148,BIKRAM KUMAR SENAPATI,02-Jan-2026 09:01 AM,Rejected-AOC,Unsuccessful Bidder,25-Feb-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3342462,Budhiram Murmu,02-Jan-2026 02:06 PM,Rejected-AOC,Unsuccessful Bidder,25-Feb-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3342176,CHANDAN KUMAR BEHERA,02-Jan-2026 01:54 PM,Rejected-AOC,Unsuccessful Bidder,25-Feb-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3341818,CHANDRA BHANU BISWAL,02-Jan-2026 01:08 PM,Rejected-AOC,Unsuccessful Bidder,25-Feb-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3336540,DIPAK KUMAR BEHERA,30-Dec-2025 01:32 PM,Rejected-AOC,Unsuccessful Bidder,25-Feb-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3342594,GOPAL CHANDRA BARIK,02-Jan-2026 03:50 PM,Rejected-Technical,Work not mentioned in Affidavit,18-Jan-2026 07:02 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3342163,JAYACHANDRA PRADHAN,02-Jan-2026 10:23 AM,Rejected-AOC,Unsuccessful Bidder,25-Feb-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3342390,Pradeep Kumar Brahma,02-Jan-2026 02:02 PM,Accepted-AOC,Successful Bidder,25-Feb-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3342349,PRIYABRATA SETHI,02-Jan-2026 01:15 PM,Rejected-AOC,Unsuccessful Bidder,25-Feb-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,AOC
