Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,Construction of Revenue Inspection Bunglow at Paikmal,Construction of Revenue Inspection Bunglow at Paikmal,Please refer Tender documents. ,NA ,"62,61,554",Civil Works - Buildings,NA ,Tender,90.0,270.0,Padampur,768036.0,NA ,NA ,NA ,"O/o the E.E RURAL WORKS DIVISION, PADMAPUR",No ,No,28-Oct-2025 10:00 AM,07-Nov-2025 11:00 AM,28-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,28-Oct-2025 10:00 AM ,04-Nov-2025 05:00 PM ,28-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,13-Nov-2025 11:00 AM,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,Online 09 of 2025-26,2025_CERWI_120066_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"62,620",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"EE R.W Division,Padampur","At.Po-Padampur, Dist.Bargarh",1.0,Fee/PreQual/Technical,.pdf,"Tender cost,EMD,Affidavit,RC,PAN card,GSTIN other docs as per DTCN",1.0,2nd corrigendum,Financial Bid,,AOC,08-Dec-2025,"INR 5,322,947",270.0,Tapas Ranjan Lenka,28-Feb-2026 04:38 PM,aoc.pdf (19.00 KB),71/P1 of 2025-26,1,3189887,ABHISEK PANIGRAHI,06-Nov-2025 04:17 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,Finance,Nineteen numbers of financial bids have been opened,Amar Chandra Kumar,13-Nov-2025 11:13 AM,,BOQ Comparative Chart,"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Ku. Naik JE Estr. I/c,Amar Chandra Kumar,12-Nov-2025 07:20 PM,13-Nov-2025 11:00 AM,techsummary_558275.pdf (383.29 KB),"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Kumar Naik JE Estr. I/c,Amar Chandra Kumar,05-Dec-2025 05:42 PM,finsummary_558275.pdf (192.78 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,2025_CERWI_120066_2,Online 09 of 2025-26,Construction of Revenue Inspection Bunglow at Paikmal,Technical,Nineteen bidders have participated,Amar Chandra Kumar,07-Nov-2025 12:10 PM,,1.0,3186717.0,Sujit Ranjan Prusty,INR,"5,322,947",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,2.0,Finance,.xls,Bill of quantity,,,,,AOC,,,,,,,,2,3181801,ANVI CONSTRUCTION,04-Nov-2025 10:54 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3182596,ARUN PRASAD SAHOO,04-Nov-2025 09:35 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3188769,CH SUBASH CHANDRA PATRO,06-Nov-2025 01:43 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3186561,DEBARCHAN BARIHA,05-Nov-2025 09:44 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3189370,DOLAMANI BIBHAR,06-Nov-2025 03:03 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3185020,HIMANSU SHEKHAR SWAIN,05-Nov-2025 05:16 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3188264,JANAKI BALLA HOTA,06-Nov-2025 12:42 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3181916,KRISHNA KUMAR AGRAWAL,04-Nov-2025 07:12 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3188753,KUNDAN PRADHAN,06-Nov-2025 01:27 PM,Rejected-Finance,Not successful in lottery,05-Dec-2025 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
