Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Parlakhemundi Municipal Council,05/PKDM-2025-26,2025_ORULB_122577_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,691",Yes,fixed,,Nil,Nil,1,ICICI BANK,06-Dec-2025 10:00 AM,19-Dec-2025 11:00 AM,06-Dec-2025 10:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,06-Dec-2025 10:00 AM,18-Dec-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,"Executive Officer, Paralakhemundi Municipality","Executive Officer, Paralakhemundi Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,NIT AND DTCN,"Construction of Community Hall at Katika Goudo Street, Ward No-4",Construction of Community Hall,Please refer Tender documents. ,NA ,"6,69,194",Civil Works - Others,NA ,Tender,90.0,60.0,Paralakhemundi Municipality,761200.0,NA ,NA ,NA ,Paralakhemundi Municipality,No ,No,AOC,"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,02-Feb-2026 11:59 AM,finsummary_569464.pdf (2567.05 KB),"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,02-Feb-2026 11:57 AM,techsummary_569464.pdf (2567.05 KB),02-Feb-2026,"INR 669,194",60.0,LAXMAN KUMAR MURMU,02-Feb-2026 12:01 PM,12.pdf (509.00 KB),1.0,3312326.0,TOKA VAMSU KUMAR,INR,"669,194",Municipal Bodies||Parlakhemundi Municipal Council,2025_ORULB_122577_12,05/PKDM-2025-26,"Construction of Community Hall at Katika Goudo Street, Ward No-4",1,3312446,LOPINTI REKHA,18-Dec-2025 08:38 AM,Rejected-AOC,L2,02-Feb-2026 12:01 PM,Finance,It will be finalized by the Tender Committee,LAXMAN KUMAR MURMU,24-Dec-2025 12:00 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3312326,TOKA VAMSU KUMAR,17-Dec-2025 08:09 PM,Accepted-AOC,L1,02-Feb-2026 12:01 PM,,,,,,,AOC
