Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Finance,Ok,Ranjan Kumar Das,20-Nov-2025 02:48 PM,,BOQ Comparative Chart,Municipal Bodies||Pattamundai Municipality,2025_ORULB_120762_13,PM_03/2025-26,Construction of R.C.C Drain and slab from S.K Garimuddin House to Municipality Road and S.K Illias house to Municipal Road and Chamber Khairat Miyan Housein ward no - 11.,1.0,3222037.0,Pradyumna Kishor Rout,INR,"1,962,214",1,3222070,JAYASHREE MOHAPATRA,13-Nov-2025 04:53 PM,Rejected-AOC,L2,12-Feb-2026 01:13 PM,12-Feb-2026,"INR 1,962,214",120.0,Ranjan Kumar Das,12-Feb-2026 01:13 PM,FE.pdf (437.00 KB),HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,12-Feb-2026 01:03 PM,techsummary_561827.pdf (396.09 KB),HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,12-Feb-2026 01:07 PM,finsummary_561827.pdf (437.14 KB),AOC,"16,636",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Documents as per DTCN,04-Nov-2025 06:00 PM,15-Nov-2025 11:00 AM,04-Nov-2025 06:00 PM,13-Nov-2025 05:00 PM,04-Nov-2025 06:00 PM ,12-Nov-2025 05:00 PM ,04-Nov-2025 06:00 PM,13-Nov-2025 05:00 PM,Municipal Bodies||Pattamundai Municipality,PM_03/2025-26,2025_ORULB_120762_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,Construction of R.C.C Drain and slab from S.K Garimuddin House to Municipality Road and S.K Illias house to Municipal Road and Chamber Khairat Miyan Housein ward no - 11.,Construction of R.C.C Drain and slab from S.K Garimuddin House to Municipality Road and S.K Illias house to Municipal Road and Chamber Khairat Miyan Housein ward no - 11.,Please refer Tender documents. ,NA ,"16,63,559",Civil Works - Others,NA ,Tender,90.0,120.0,Executive Officer Pattamundai Municipality,754215.0,NA ,NA ,NA ,Executive Officer Pattamundai Municipality,No ,No,Executive Officer Pattamundai Municipality,Executive Officer Pattamundai Municipality Pattamundai Kendrapara,AOC
,,,,,,,,,,,,,,,2,3222037,Pradyumna Kishor Rout,13-Nov-2025 04:34 PM,Accepted-AOC,The Bidder Was Selected as L1 Bidder because the bidder quoted lowest rate than another bidder,12-Feb-2026 01:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
