Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"O/O THE SE, SID, SUNDARGARH","O/O THE SE, SID, SUNDARGARH AT/PO-SANKARA DIST-SUNDARGARH PIN-770020","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Sundargarh Irr.Divn,Sundargarh",SID-05/2025-26,2025_CEBBU_120342_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of Tender Paper Cost and EMD.,01-Nov-2025 10:00 AM,18-Nov-2025 11:00 AM,01-Nov-2025 10:00 AM,15-Nov-2025 05:30 PM,01-Nov-2025 10:00 AM ,15-Nov-2025 05:30 PM ,01-Nov-2025 10:00 AM,15-Nov-2025 05:30 PM,"11,101",Yes,fixed,,Nil,Nil,"Repair and Renovation of Pandal and field at Irrigation colony of Sundargarh Irrigation Division, Sundargarh","Repair and Renovation of Pandal and field at Irrigation colony of Sundargarh Irrigation Division, Sundargarh",Please refer Tender documents. ,NA ,"11,10,140",Civil Works - Others,NA ,Tender,90.0,90.0,SUNDARGARH,770020.0,NA ,NA ,NA ,"O/O THE SE, SID, SUNDARGARH",No ,No,AOC,1,3227864,AMIT KUMAR SHARMA,15-Nov-2025 04:13 PM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,22-Feb-2026,"INR 943,730",90.0,Gobinda Chandra Majhi,22-Feb-2026 11:23 AM,34P1202526.pdf (6788.00 KB),WORK ORDER AND AGREEMENT COPY,SEDAOAEEAE,Internal,SEDAOAEEAE,Gobinda Chandra Majhi,22-Feb-2026 11:17 AM,techsummary_560151.pdf (391.43 KB),SEDAOAEEAE,Internal,SEDAOAEEAE,Gobinda Chandra Majhi,22-Feb-2026 11:20 AM,finsummary_560151.pdf (391.43 KB),"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Sundargarh Irr.Divn,Sundargarh",2025_CEBBU_120342_5,SID-05/2025-26,"Repair and Renovation of Pandal and field at Irrigation colony of Sundargarh Irrigation Division, Sundargarh",1.0,3227562.0,RITA DAS,INR,"943,730",Finance,Bid Opening Summary,Gobinda Chandra Majhi,26-Nov-2025 05:54 PM,finance_560151.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"GSTIN, PAN Card, Contractor Regd. Certificate, No Relation Certificate, Other document as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3221581,Bikash Kumar Tanty,15-Nov-2025 03:12 PM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3220634,JAYANTA KUMAR PATTNAIK,13-Nov-2025 12:02 PM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3226950,MAHENDRA KHUKHARI,15-Nov-2025 12:30 PM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3216309,M/S GANESHRAM TOPPO,12-Nov-2025 11:30 AM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3227378,PANCHAMI TAJAN,15-Nov-2025 01:38 PM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3227604,PRANAB KUMAR MAJHI,15-Nov-2025 03:10 PM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3227562,RITA DAS,15-Nov-2025 03:03 PM,Accepted-AOC,1st Lowest Through Lottery,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3226688,SHARAT KUMAR PATEL,15-Nov-2025 11:25 AM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3226458,VYASDEV GARDIA,15-Nov-2025 09:31 AM,Rejected-AOC,2nd Lowest,22-Feb-2026 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
