S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,Eligibility Criteria ,E01-Bid Cost ,E01-Bid Cost ,,1.0,ICICI BANK,"Construction of Road and drain at Rohit colony 2nd lane in ward no-22, under Rayagada Municipality.","Construction of Road and drain at Rohit colony 2nd lane in ward no-22, under Rayagada Municipality.",Please refer Tender documents. ,NA ,"12,43,220",Civil Works - Others,NA ,Tender,120.0,NA ,Rayagada Munucipality,765001.0,NA ,NA ,NA ,Rayagada Munucipality Office,No ,No,"13,000",Yes,fixed,,Nil,Nil,05-Dec-2025 05:30 PM,20-Dec-2025 11:30 AM,05-Dec-2025 05:30 PM,19-Dec-2025 05:30 PM,NA ,NA ,05-Dec-2025 05:30 PM,19-Dec-2025 05:30 PM,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Rayagada Municipality,RGDA-MUN-07/2025-26,2025_ORULB_122589_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Executive Officer, Rayagada Municipality.",Rayagada Municipality,AOC,CHAIRMAN RAYAGADA MUNICIPALITY,Internal,,BIKRAMADITYA MOHAPATRA,26-Feb-2026 05:59 PM,techsummary_569663.pdf (521.84 KB),CHAIRMAN RAYAGADA MUNICIPALITY,Internal,,BIKRAMADITYA MOHAPATRA,26-Feb-2026 06:08 PM,finsummary_569663.pdf (521.84 KB),Finance,All bidders are admitted,Kuldeep Kumar,14-Jan-2026 12:37 PM,,BOQ Comparative Chart,1.0,3313357.0,GUNTAMUKALA GOWRI SANKAR RAO,INR,"1,056,862",Municipal Bodies||Rayagada Municipality,2025_ORULB_122589_23,RGDA-MUN-07/2025-26,"Construction of Road and drain at Rohit colony 2nd lane in ward no-22, under Rayagada Municipality.",1,3316701,AJIT KUMAR SENAPATI,19-Dec-2025 02:53 PM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,26-Feb-2026,"INR 1,056,862",30.0,BIKRAMADITYA MOHAPATRA,26-Feb-2026 06:12 PM,23.pdf (1086.00 KB),AOC
2.0,Eligibility Criteria ,E02-Bid Security ,E02-Bid Security ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3311024,ANAM NAIK,17-Dec-2025 01:53 PM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,,,,,,,AOC
3.0,Eligibility Criteria ,E04-Registration Certificate ,E04-Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3311911,GITANJALI BEHERA,17-Dec-2025 05:32 PM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,,,,,,,AOC
4.0,Eligibility Criteria ,E05-GSTIN ,E05-GSTIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3313357,GUNTAMUKALA GOWRI SANKAR RAO,18-Dec-2025 11:30 AM,Accepted-AOC,at 14.99 percent less,26-Feb-2026 06:12 PM,,,,,,,AOC
5.0,Legal Document ,01.PAN ,Parmanent Account No. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3317446,KANYA KUMARY MANDANGI,19-Dec-2025 03:49 PM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,,,,,,,AOC
6.0,Legal Document ,02.GST ,GSTIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3315052,MOHAN KANDHAPANI,18-Dec-2025 10:46 PM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,,,,,,,AOC
7.0,Legal Document ,03.RC ,Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3316709,NANDA KISHOR PRASAD CHOURASIA,19-Dec-2025 02:27 PM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,,,,,,,AOC
8.0,Schedule ,01.Schedule-A ,Relationship Certificate ,Schedule-A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3316890,RAINA KADRAKA,19-Dec-2025 01:58 PM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,,,,,,,AOC
9.0,Schedule ,03.Schedule-E ,Litigation ,Schedule-E.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3314046,RAJANI KANTA BEHERA,19-Dec-2025 12:41 AM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,,,,,,,AOC
10.0,Schedule ,04.Schedule-F ,Affidavit ,Schedule-F.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3315907,SABITA MISHRA,19-Dec-2025 01:45 AM,Rejected-Finance,Not qualified in lottery system.,26-Feb-2026 06:08 PM,,,,,,,AOC
