Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage
D S Jena,Internal,,DUSHASAN JENA,10-Dec-2025 05:35 PM,11-Dec-2025 11:00 AM,techsummary_550651.pdf (61.79 KB),Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,2025_OLIC_117457_2,01/2025-26(3086)/OLIC(BDK)/Dt. 25.08.2025,Installation and Energization of Aransahi-II RL Project under Dhamnagar Block,1.0,3071160.0,POWERTECH ENGINEERING.TAPAS RANJAN PATI,INR,"2,408,105",1,3071010,AMALENDU NAYAK,10-Sep-2025 12:37 PM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,Technical,Technical Bid Opened,DUSHASAN JENA,11-Sep-2025 12:59 PM,technical_550651.pdf,Finance,Admitted,DUSHASAN JENA,11-Dec-2025 11:59 AM,,BOQ Comparative Chart,D S Jena,Internal,,DUSHASAN JENA,03-Feb-2026 06:06 PM,finsummary_550651.pdf (61.79 KB),03-Feb-2026,"INR 2,408,105",90.0,DUSHASAN JENA,03-Feb-2026 06:15 PM,AransahiIIRL.pdf (68.00 KB),Awarded of Work,AOC,"7,080",0.0,Nil,Nil,No,"24,006",Yes,percentage,1.0%,Nil,Nil,Installation and Energization of Aransahi-II RL Project under Dhamnagar Block,Installation and Energization of Aransahi-II RL Project under Dhamnagar Block,Please refer Tender documents. ,NA ,"24,00,620",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,"L.I. Division, Bhadrak",756100.0,NA ,NA ,NA ,"L.I. Division, Bhadrak",No ,No,01-Sep-2025 11:00 AM,11-Sep-2025 11:00 AM,01-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,01-Sep-2025 11:00 AM ,10-Sep-2025 05:00 PM ,01-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,11-Dec-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,DTCN,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,01/2025-26(3086)/OLIC(BDK)/Dt. 25.08.2025,2025_OLIC_117457_2,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"E.E, L.I. Division, Bhadrak","E.E, L.I. Division, Bhadrak",AOC
,,,,,,,,,,,,,,,,2,3071415,Bibekananda Pati,09-Sep-2025 03:09 PM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Call Notice,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,3,3073213,KAPIL JENA,10-Sep-2025 09:33 AM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3071231,LAKSHMIMANI GIRI,10-Sep-2025 02:15 PM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3071428,LAXMAN KUMAR SAHOO,10-Sep-2025 04:01 PM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3071585,MANIBHADRA JENA,10-Sep-2025 02:31 PM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3073385,NABIN KUMAR PAL,10-Sep-2025 04:29 PM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3068703,NIRANJAN BEHERA,10-Sep-2025 04:59 PM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3071160,POWERTECH ENGINEERING.TAPAS RANJAN PATI,10-Sep-2025 11:33 AM,Accepted-AOC,Bidder awarded work under after winning the lottery in the presence of all bidders and Tender Committee,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3074073,PRAVASH CHANDRA NAYAK,10-Sep-2025 02:14 PM,Rejected-AOC,Rejected,03-Feb-2026 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
