S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3221511.0,Saumitra Kumar Sahu,INR,"214,344",CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120870_19,03(Onilne)/RWD/UDALA/2025-26,Repair to S.I. Qtr. Khunta Police Station for the year 2025-26.,1,3215018,BHABESH NAYAK,12-Nov-2025 09:17 PM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,16-Feb-2026,"INR 214,344",30.0,Haripriya Behera,16-Feb-2026 02:17 PM,Khunta19A.pdf (738.00 KB),Finance,18 Nos of bidders admitted,Haripriya Behera,16-Feb-2026 02:04 PM,,BOQ Comparative Chart,SERW DIVISION UDALA,Internal,,Haripriya Behera,16-Feb-2026 02:12 PM,finsummary_562154.pdf (1344.12 KB),SERW DIVISION UDALA,Internal,,Haripriya Behera,16-Feb-2026 02:07 PM,techsummary_562154.pdf (1344.12 KB),AOC,SE RWD Udala,SE RWD Udala,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,03(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120870_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Nov-2025 04:00 PM,13-Nov-2025 05:30 PM,06-Nov-2025 04:00 PM,13-Nov-2025 05:00 PM,06-Nov-2025 04:00 PM ,13-Nov-2025 03:00 PM ,06-Nov-2025 04:00 PM,13-Nov-2025 05:00 PM,1.0,ICICI BANK,"2,520",Yes,percentage,1.0%,Nil,Nil,Repair to S.I. Qtr. Khunta Police Station for the year 2025-26.,Repair to S.I. Qtr. Khunta Police Station for the year 2025-26.,Please refer Tender documents. ,NA ,"2,52,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits and other documents as per DTCN.",AOC
,,,,,,,,,2,3196168,Biswajit Pramanik,13-Nov-2025 12:13 AM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,3,3197635,BIVASH KUMAR ROUT,13-Nov-2025 09:13 AM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3207274,HARISH KUMAR BEHERA,13-Nov-2025 11:40 AM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3219314,HEMANTA KUMAR JENA,13-Nov-2025 10:21 AM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3203060,KAMALAKANTA DEHURI,12-Nov-2025 11:06 PM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3219956,MAA JAGADHATRI LCCS LTD,13-Nov-2025 08:32 AM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3210825,MANAS KUMAR PRUSTY,13-Nov-2025 05:11 AM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3221565,MONALISA LENKA,13-Nov-2025 02:51 PM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3216196,Prasanta Kumar Behera,13-Nov-2025 11:22 AM,Rejected-AOC,L1,16-Feb-2026 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
