Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,all documents are furnished,DEBADATTA DAS,18-Feb-2026 11:14 AM,,BOQ Comparative Chart,1.0,3131753.0,MANABODH BHOI,INR,"398,716","CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",2025_CEMIB_119030_5,TCN-06/2025-26,Improvement to Patharghat I Check Dam in Lakhanpur Block under Improvement to Check Dam scheme in Jharsuguda District for the year 2024-25,superintending engineer,Internal,,DEBADATTA DAS,18-Feb-2026 11:19 AM,finsummary_554910.pdf (409.55 KB),superintending engineer,Internal,,DEBADATTA DAS,18-Feb-2026 11:17 AM,techsummary_554910.pdf (409.55 KB),1,3128739,GOURHARI DEHERI,15-Oct-2025 10:06 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Wrong no relation certificate and pan card furnished,18-Feb-2026 11:14 AM,18-Feb-2026,"INR 398,716",90.0,DEBADATTA DAS,18-Feb-2026 11:22 AM,899.pdf (574.00 KB),AOC,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Superintending Engineer,"O/o the Superintending Engineer,M.I. Division, Jharsuguda","4,430",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,Improvement to Patharghat I Check Dam in Lakhanpur Block under Improvement to Check Dam scheme in Jharsuguda District for the year 2024-25,Improvement to Patharghat I Check Dam in Lakhanpur Block under Improvement to Check Dam scheme in Jharsuguda District for the year 2024-25,Please refer Tender documents. ,NA ,"4,43,000",Civil Works - Others,NA ,Tender,90.0,90.0,Jharsuguda,768202.0,NA ,NA ,NA ,Jharsuguda,No ,No,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",TCN-06/2025-26,2025_CEMIB_119030_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,08-Oct-2025 02:00 PM,18-Oct-2025 10:00 AM,08-Oct-2025 02:00 PM,17-Oct-2025 05:30 PM,08-Oct-2025 02:00 PM ,16-Oct-2025 05:30 PM ,08-Oct-2025 02:00 PM,17-Oct-2025 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3131753,MANABODH BHOI,17-Oct-2025 12:49 PM,Accepted-AOC,accepted,18-Feb-2026 11:23 AM,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3132632,PRIYANSHI CONSTRUCTION PROP PRAMOD KUMAR KHUNTIA,17-Oct-2025 03:19 PM,Rejected-AOC,rejected,18-Feb-2026 11:23 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
