Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_121224_38,Tender Online Divn. BBSR - 23/2025-26,Sub Register office at Balipatna,1.0,3240686.0,PRASANTA KUMAR SAHOO,INR,"718,714",1,3237835,Ajit Kumar Guru,20-Nov-2025 01:56 PM,Rejected-Technical,Technically not Qualified,29-Dec-2025 11:51 AM,12-Feb-2026,"INR 718,714",60.0,Nirmal Chandra Jena,12-Feb-2026 04:09 PM,SubRegister.pdf (291.00 KB),AOC,Finance,13 nos of bidder are participated,Shrabani Routray,25-Nov-2025 10:55 AM,,BOQ Comparative Chart,"SE RW, Bhubaneswar",Internal,DAO and Estimator,Shrabani Routray,29-Dec-2025 11:56 AM,finsummary_564415.pdf (409.28 KB),"SE RW, Bhubaneswar",Internal,DAO and Estimator,Shrabani Routray,29-Dec-2025 11:51 AM,techsummary_564415.pdf (354.57 KB),AOC,15-Nov-2025 10:00 AM,21-Nov-2025 11:00 AM,15-Nov-2025 10:00 AM,20-Nov-2025 05:00 PM,NA ,NA ,15-Nov-2025 10:00 AM,20-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 23/2025-26,2025_CERWI_121224_38,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Sub Register office at Balipatna,Sub Register office at Balipatna,Please refer Tender documents. ,NA ,"8,47,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"8,470",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,AOC
,,,,,,,,,2,3236032,ALOK RANJAN MOHAPATRA,18-Nov-2025 05:33 PM,Rejected-Technical,Technically Not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BoQ,AOC
,,,,,,,,,3,3237630,BAIDHAR NAYAK,19-Nov-2025 01:05 PM,Rejected-Technical,Technically not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3240006,CHINMAYI PARIDA,20-Nov-2025 04:46 AM,Rejected-Technical,Technically not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3241105,DESABANDHU JENA,20-Nov-2025 01:26 PM,Rejected-Technical,Technically not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3242218,JAY MAHADEV CONSTRUCTION,20-Nov-2025 04:59 PM,Rejected-Technical,Technically Not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3241856,MADHUSUDAN BEHERA,20-Nov-2025 03:32 PM,Rejected-Technical,Technically Not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3241988,NIRANJAN MISHRA,20-Nov-2025 03:36 PM,Rejected-Technical,Technically Not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3241214,PRABHASINI RAUT,20-Nov-2025 01:21 PM,Rejected-Technical,Technically not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3239804,PRAKASH KUMAR MISHRA,19-Nov-2025 11:57 PM,Rejected-Technical,Technically not Qualified,29-Dec-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
