Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Superintending Engineer,Internal,"Superintending Engineer, Assistant Executive Engineer (Estimator), Divisional Accounts Officer and Assistant Engineer (Estimator)",JAGANNATH MALLIK,19-Feb-2026 05:02 PM,techsummary_572797.pdf (1210.77 KB),19-Feb-2026,"INR 2,872,848.02",90.0,JAGANNATH MALLIK,19-Feb-2026 08:42 PM,8karanjanalla.PDF (151.00 KB),Successful bidder in the Transparent Lottery. Deposited APSD and EMD and ISD Amounts,1,3346856,Akhyaya Kumar Sahu,06-Jan-2026 03:57 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,1.0,3346440.0,PRATIKRAJ DASH,INR,"2,872,848.02",Finance,"The bid has been opened for the tender ID 2025_CEMIB_123644_1. 22 Nos. of bidders found for the work. After verification of all the Bids, qualified bidders moved to further tender process.",JAGANNATH MALLIK,15-Jan-2026 01:59 PM,finance_572797.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Superintending Engineer, Asst. Executive Engineer (Estimator), Divisional Accounts Officer and Assistant Engineer (Estimator)",JAGANNATH MALLIK,19-Feb-2026 07:43 PM,finsummary_572797.pdf (1210.77 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE M.I. Division Rayagada",2025_CEMIB_123644_1,SEMIDRGD-05/2025-26,Improvement to Karanjanalla MIP in Muniguda Block of Rayagada District under Infrastructure Development Fund (IDF) for the year 2025-26,AOC,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,"S.E, M.I Division, Rayagada","O/o S.E, M.I Division, Rayagada","CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE M.I. Division Rayagada",SEMIDRGD-05/2025-26,2025_CEMIB_123644_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,23-Dec-2025 10:00 AM,07-Jan-2026 11:00 AM,23-Dec-2025 10:00 AM,06-Jan-2026 05:00 PM,23-Dec-2025 10:00 AM ,06-Jan-2026 05:00 PM ,23-Dec-2025 10:00 AM,06-Jan-2026 05:00 PM,"33,800",Yes,fixed,,Nil,Nil,Improvement to Karanjanalla MIP in Muniguda Block of Rayagada District under Infrastructure Development Fund (IDF) for the year 2025-26,Improvement to Karanjanalla MIP in Muniguda Block of Rayagada District under Infrastructure Development Fund (IDF) for the year 2025-26,Please refer Tender documents. ,NA ,"33,79,424",Civil Works - Others,NA ,Tender,90.0,90.0,Rayagada,765001.0,NA ,NA ,NA ,"O/o S.E, M.I Division, Rayagada",No ,No,AOC
,,,,,,,,,,,,,2,3346681,AMIT KUMAR AGRAWAL,06-Jan-2026 04:23 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.pdf,NIT,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3342290,ARUN KUMAR NAYAK,04-Jan-2026 09:06 AM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.pdf,RC PAN GSTIN Affidavit regarding Authenticity No Relation and litigation debarring certificate etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3344689,Balaram Panigrahi,05-Jan-2026 11:51 AM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3346668,BIREN NAG,06-Jan-2026 02:11 PM,Rejected-Technical,GSTIN Cancelled Suo-Moto,19-Feb-2026 05:02 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3346266,CHANDRA SEKHAR SAHUKAR,06-Jan-2026 10:29 AM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3339229,CHINMAY NAYAK,30-Dec-2025 09:38 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3346701,CH SUBASH CHANDRA PATRO,06-Jan-2026 03:49 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3346429,GITANJALI PADHAN,06-Jan-2026 03:52 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3345949,Jitendra Kumar Naik,05-Jan-2026 08:56 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,19-Feb-2026 08:42 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
