Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 02:41 PM,finance_565839.pdf,BOQ Comparative Chart,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 05:16 PM,22-Dec-2025 10:00 AM,techsummary_565839.pdf (1580.31 KB),04-Feb-2026,"INR 5,289,950.23",120.0,CHITARANJAN PRADHAN,12-Feb-2026 08:47 AM,41.pdf (986.00 KB),Agreement Done,1,3268601,Anup kumar agrawal,01-Dec-2025 04:20 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:47 AM,1.0,3263790.0,PRAKASH KUMAR SWAIN,INR,"5,289,950.23",Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,04-Feb-2026 11:31 AM,finsummary_565839.pdf (626.39 KB),Technical,Tender Open,CHITARANJAN PRADHAN,03-Dec-2025 11:40 AM,technical_565839.pdf,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_41,EEOLICSBP-03/2025-26,Installation of Ghenupali-II and Ghenupali-IV L.I. Project under Jujomura block in Sambalpur District,AOC,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,1.0,ICICI BANK,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents","11,800",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_41,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Installation of Ghenupali-II and Ghenupali-IV L.I. Project under Jujomura block in Sambalpur District,Installation of Ghenupali-II and Ghenupali-IV L.I. Project under Jujomura block in Sambalpur District,Please refer Tender documents. ,NA ,"62,22,739",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Jujomura,768105.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,"62,227",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,2,3267251,DIPAK RANJAN BEHERA,29-Nov-2025 08:28 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:47 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3268682,JAYAJIT KUMAR SAHOO,01-Dec-2025 04:49 AM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:47 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3267578,KISANPRAKASH DAS,30-Nov-2025 03:39 PM,Rejected-Technical,"He has no mention of work, DTCN in JV",21-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3267769,MISHRA ELECTRICAL AND CONSTRUCTION,30-Nov-2025 01:20 PM,Rejected-Technical,He has only one year experience certificate uploaded,21-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3267203,MOHAMMAD ANISH,30-Nov-2025 09:55 PM,Rejected-Technical,He has JV registration out of stipulated period,21-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3268341,MS Shree Shyam and Co,01-Dec-2025 01:47 PM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:47 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3268381,"OJAS CIVCON, PROPRIETOR-BIJAN MOHANTY",01-Dec-2025 10:08 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3260884,PRADEEP KUMAR AGRAWALLA,01-Dec-2025 09:31 AM,Rejected-AOC,Not Award of Contract,12-Feb-2026 08:47 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3263790,PRAKASH KUMAR SWAIN,30-Nov-2025 09:27 PM,Accepted-AOC,Award of Contract,12-Feb-2026 08:47 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
